activation	layers	learning_rate	Accuracy	Sensitivity	Specificity	F1-score	MCC	BA	Accuracy_bcv	Sensitivity_bcv	Specificity_bcv	F1-score_bcv	MCC_bcv	BA_bcv	Accuracy_blind	Sensitivity_blind	Specificity_blind	F1-score_blind	MCC_blind	BA_blind
relu	(25,)	0.1	0.899	0.759	0.952	0.805	0.744	0.856	0.718	0.551	0.796	0.553	0.35	0.674	0.727	0.694	0.743	0.618	0.416	0.718
relu	(25,)	0.01	0.938	0.824	0.981	0.88	0.842	0.903	0.727	0.629	0.773	0.595	0.392	0.701	0.773	0.673	0.819	0.653	0.485	0.746
relu	(25,)	0.001	0.931	0.775	0.99	0.859	0.824	0.883	0.742	0.543	0.834	0.572	0.389	0.689	0.747	0.592	0.819	0.598	0.413	0.705
relu	(25,)	0.0001	0.925	0.77	0.983	0.847	0.807	0.877	0.738	0.494	0.851	0.545	0.367	0.673	0.734	0.51	0.838	0.549	0.364	0.674
relu	(50,)	0.1	0.913	0.797	0.956	0.833	0.777	0.877	0.747	0.694	0.771	0.635	0.448	0.733	0.74	0.612	0.8	0.6	0.408	0.706
relu	(50,)	0.01	0.923	0.792	0.973	0.85	0.803	0.882	0.74	0.669	0.773	0.62	0.428	0.721	0.708	0.673	0.724	0.595	0.377	0.699
relu	(50,)	0.001	0.926	0.759	0.99	0.848	0.812	0.874	0.717	0.576	0.783	0.563	0.356	0.679	0.714	0.592	0.771	0.569	0.356	0.682
relu	(50,)	0.0001	0.911	0.715	0.986	0.814	0.772	0.85	0.7	0.482	0.802	0.505	0.292	0.642	0.701	0.51	0.79	0.521	0.304	0.65
relu	(75,)	0.1	0.919	0.792	0.967	0.841	0.791	0.879	0.735	0.616	0.79	0.597	0.406	0.703	0.734	0.51	0.838	0.549	0.364	0.674
relu	(75,)	0.01	0.919	0.808	0.961	0.845	0.792	0.884	0.718	0.686	0.733	0.608	0.4	0.71	0.747	0.694	0.771	0.636	0.447	0.733
relu	(75,)	0.001	0.931	0.792	0.983	0.862	0.823	0.888	0.756	0.673	0.794	0.637	0.455	0.734	0.766	0.714	0.79	0.66	0.487	0.752
