activation	layers	learning_rate	Accuracy	Sensitivity	Specificity	F1-score	MCC	BA	Accuracy_bcv	Sensitivity_bcv	Specificity_bcv	F1-score_bcv	MCC_bcv	BA_bcv	Accuracy_blind	Sensitivity_blind	Specificity_blind	F1-score_blind	MCC_blind	BA_blind
relu	(25,)	0.1	0.965	0.891	0.994	0.932	0.912	0.942	0.722	0.62	0.77	0.587	0.38	0.695	0.734	0.694	0.752	0.624	0.426	0.723
relu	(25,)	0.01	0.97	0.901	0.996	0.942	0.925	0.949	0.705	0.612	0.749	0.568	0.348	0.68	0.734	0.653	0.771	0.61	0.411	0.712
relu	(25,)	0.001	0.968	0.902	0.994	0.939	0.92	0.948	0.705	0.543	0.781	0.539	0.323	0.662	0.708	0.551	0.781	0.545	0.33	0.666
relu	(25,)	0.0001	0.961	0.869	0.996	0.923	0.901	0.932	0.712	0.522	0.8	0.536	0.327	0.661	0.701	0.531	0.781	0.531	0.312	0.656
relu	(50,)	0.1	0.947	0.852	0.983	0.895	0.865	0.918	0.716	0.588	0.775	0.565	0.36	0.681	0.688	0.612	0.724	0.556	0.322	0.668
relu	(50,)	0.01	0.976	0.923	0.996	0.954	0.939	0.96	0.734	0.665	0.766	0.613	0.416	0.716	0.76	0.673	0.8	0.641	0.462	0.737
relu	(50,)	0.001	0.97	0.912	0.992	0.943	0.924	0.952	0.727	0.596	0.789	0.582	0.38	0.692	0.747	0.612	0.81	0.606	0.42	0.711
relu	(50,)	0.0001	0.965	0.896	0.992	0.934	0.913	0.944	0.735	0.555	0.819	0.571	0.38	0.687	0.734	0.571	0.81	0.577	0.383	0.69
relu	(75,)	0.1	0.941	0.896	0.958	0.895	0.855	0.927	0.721	0.645	0.756	0.596	0.389	0.701	0.695	0.592	0.743	0.552	0.324	0.667
relu	(75,)	0.01	0.962	0.918	0.979	0.931	0.905	0.949	0.716	0.71	0.718	0.614	0.405	0.714	0.688	0.653	0.705	0.571	0.339	0.679
relu	(75,)	0.001	0.968	0.945	0.977	0.942	0.921	0.961	0.735	0.718	0.743	0.633	0.438	0.731	0.727	0.714	0.733	0.625	0.424	0.724
relu	(75,)	0.0001	0.965	0.934	0.977	0.937	0.913	0.956	0.726	0.722	0.728	0.627	0.426	0.725	0.727	0.755	0.714	0.638	0.441	0.735
relu	(100,)	0.1	0.959	0.88	0.99	0.921	0.898	0.935	0.683	0.567	0.737	0.53	0.295	0.652	0.708	0.653	0.733	0.587	0.369	0.693
relu	(100,)	0.01	0.977	0.945	0.99	0.958	0.943	0.967	0.714	0.637	0.75	0.586	0.373	0.694	0.656	0.612	0.676	0.531	0.273	0.644
relu	(100,)	0.001	0.973	0.94	0.986	0.95	0.932	0.963	0.691	0.608	0.73	0.555	0.324	0.669	0.708	0.633	0.743	0.579	0.361	0.688
relu	(100,)	0.0001	0.967	0.934	0.979	0.939	0.917	0.957	0.687	0.62	0.718	0.558	0.323	0.669	0.688	0.612	0.724	0.556	0.322	0.668
relu	(125,)	0.1	0.958	0.89	0.983	0.92	0.893	0.937	0.701	0.6	0.749	0.559	0.338	0.674	0.721	0.735	0.714	0.626	0.423	0.724
relu	(125,)	0.01	0.967	0.929	0.981	0.939	0.918	0.955	0.704	0.698	0.707	0.6	0.382	0.702	0.708	0.653	0.733	0.587	0.369	0.693
relu	(125,)	0.001	0.97	0.934	0.983	0.944	0.924	0.959	0.713	0.673	0.731	0.599	0.385	0.702	0.714	0.673	0.733	0.6	0.387	0.703
relu	(125,)	0.0001	0.968	0.929	0.983	0.942	0.92	0.956	0.713	0.673	0.731	0.599	0.386	0.702	0.708	0.673	0.724	0.595	0.377	0.699
relu	(150,)	0.1	0.955	0.885	0.981	0.915	0.885	0.933	0.719	0.669	0.743	0.604	0.397	0.706	0.734	0.673	0.762	0.617	0.419	0.718
relu	(150,)	0.01	0.955	0.907	0.973	0.918	0.887	0.94	0.705	0.657	0.728	0.586	0.367	0.692	0.695	0.612	0.733	0.561	0.332	0.673
relu	(150,)	0.001	0.965	0.923	0.981	0.936	0.913	0.952	0.722	0.661	0.75	0.602	0.395	0.706	0.721	0.673	0.743	0.606	0.398	0.708
relu	(150,)	0.0001	0.959	0.907	0.979	0.924	0.897	0.943	0.736	0.653	0.775	0.612	0.416	0.714	0.74	0.673	0.771	0.623	0.429	0.722
relu	(175,)	0.1	0.947	0.896	0.967	0.902	0.867	0.931	0.722	0.682	0.741	0.608	0.404	0.711	0.734	0.776	0.714	0.65	0.459	0.745
relu	(175,)	0.01	0.965	0.923	0.981	0.936	0.912	0.952	0.713	0.641	0.747	0.586	0.373	0.694	0.714	0.653	0.743	0.593	0.379	0.698
relu	(175,)	0.001	0.965	0.929	0.979	0.936	0.913	0.954	0.701	0.633	0.733	0.572	0.351	0.683	0.708	0.633	0.743	0.579	0.361	0.688
relu	(175,)	0.0001	0.962	0.923	0.977	0.931	0.905	0.95	0.695	0.629	0.726	0.567	0.339	0.677	0.675	0.612	0.705	0.545	0.302	0.659
relu	(200,)	0.1	0.961	0.895	0.985	0.925	0.901	0.94	0.709	0.616	0.752	0.57	0.357	0.684	0.727	0.612	0.781	0.588	0.385	0.697
relu	(200,)	0.01	0.971	0.934	0.985	0.947	0.928	0.96	0.712	0.661	0.735	0.593	0.379	0.698	0.708	0.633	0.743	0.579	0.361	0.688
relu	(200,)	0.001	0.974	0.94	0.988	0.952	0.935	0.964	0.735	0.698	0.752	0.626	0.43	0.725	0.734	0.673	0.762	0.617	0.419	0.718
relu	(200,)	0.0001	0.962	0.907	0.983	0.929	0.905	0.945	0.727	0.682	0.749	0.614	0.411	0.715	0.753	0.714	0.771	0.648	0.465	0.743
relu	(225,)	0.1	0.956	0.89	0.981	0.918	0.889	0.936	0.703	0.637	0.733	0.576	0.354	0.685	0.714	0.735	0.705	0.621	0.413	0.72
relu	(225,)	0.01	0.965	0.923	0.981	0.936	0.913	0.952	0.697	0.616	0.735	0.564	0.338	0.676	0.714	0.653	0.743	0.593	0.379	0.698
relu	(225,)	0.001	0.971	0.94	0.983	0.948	0.928	0.962	0.722	0.661	0.75	0.602	0.395	0.706	0.708	0.612	0.752	0.571	0.353	0.682
relu	(225,)	0.0001	0.962	0.923	0.977	0.931	0.906	0.95	0.719	0.661	0.747	0.6	0.391	0.704	0.721	0.673	0.743	0.606	0.398	0.708
relu	(250,)	0.1	0.947	0.874	0.975	0.9	0.866	0.925	0.701	0.629	0.735	0.572	0.35	0.682	0.669	0.592	0.705	0.532	0.283	0.648
relu	(250,)	0.01	0.962	0.913	0.981	0.93	0.905	0.947	0.682	0.641	0.701	0.561	0.324	0.671	0.682	0.531	0.752	0.515	0.279	0.641
relu	(250,)	0.001	0.967	0.929	0.981	0.939	0.917	0.955	0.725	0.673	0.749	0.608	0.404	0.711	0.701	0.612	0.743	0.566	0.343	0.678
relu	(250,)	0.0001	0.965	0.934	0.977	0.937	0.914	0.956	0.718	0.657	0.747	0.597	0.387	0.702	0.714	0.653	0.743	0.593	0.379	0.698
relu	(275,)	0.1	0.947	0.879	0.973	0.902	0.868	0.926	0.705	0.6	0.754	0.562	0.347	0.677	0.656	0.633	0.667	0.539	0.282	0.65
relu	(275,)	0.01	0.973	0.929	0.99	0.949	0.932	0.959	0.723	0.682	0.743	0.61	0.405	0.712	0.682	0.653	0.695	0.566	0.329	0.674
relu	(275,)	0.001	0.964	0.912	0.983	0.932	0.909	0.948	0.727	0.682	0.749	0.614	0.411	0.715	0.74	0.714	0.752	0.636	0.444	0.733
relu	(275,)	0.0001	0.962	0.891	0.99	0.928	0.905	0.94	0.732	0.653	0.77	0.608	0.409	0.711	0.74	0.673	0.771	0.623	0.429	0.722
relu	(300,)	0.1	0.946	0.874	0.973	0.896	0.863	0.923	0.708	0.62	0.749	0.572	0.356	0.684	0.779	0.653	0.838	0.653	0.491	0.746
relu	(300,)	0.01	0.971	0.935	0.985	0.948	0.929	0.96	0.716	0.665	0.739	0.598	0.387	0.702	0.727	0.633	0.771	0.596	0.393	0.702
relu	(300,)	0.001	0.968	0.934	0.981	0.942	0.921	0.958	0.705	0.629	0.741	0.575	0.355	0.685	0.721	0.653	0.752	0.598	0.39	0.703
relu	(300,)	0.0001	0.967	0.929	0.981	0.939	0.917	0.955	0.71	0.645	0.741	0.586	0.37	0.693	0.714	0.633	0.752	0.585	0.371	0.693
relu	(25,5)	0.1	0.808	0.34	0.983	0.348	0.33	0.662	0.694	0.253	0.899	0.232	0.148	0.576	0.682	0.0	1.0	0.0	0.0	0.5
relu	(25,5)	0.01	0.959	0.918	0.975	0.925	0.897	0.947	0.706	0.661	0.728	0.589	0.37	0.694	0.708	0.673	0.724	0.595	0.377	0.699
relu	(25,5)	0.001	0.959	0.912	0.977	0.925	0.897	0.945	0.69	0.6	0.731	0.551	0.319	0.666	0.675	0.592	0.714	0.537	0.293	0.653
relu	(25,5)	0.0001	0.958	0.885	0.985	0.92	0.893	0.935	0.69	0.58	0.741	0.543	0.311	0.66	0.675	0.571	0.724	0.528	0.285	0.648
relu	(50,10)	0.1	0.767	0.15	1.0	0.171	0.166	0.575	0.696	0.094	0.977	0.11	0.079	0.536	0.682	0.0	1.0	0.0	0.0	0.5
relu	(50,10)	0.01	0.958	0.917	0.973	0.923	0.895	0.945	0.714	0.686	0.728	0.604	0.392	0.707	0.734	0.673	0.762	0.617	0.419	0.718
relu	(50,10)	0.001	0.974	0.945	0.986	0.953	0.936	0.965	0.743	0.673	0.775	0.625	0.434	0.724	0.721	0.694	0.733	0.613	0.406	0.714
relu	(50,10)	0.0001	0.97	0.934	0.983	0.944	0.925	0.959	0.736	0.657	0.773	0.613	0.417	0.715	0.74	0.653	0.781	0.615	0.422	0.717
relu	(75,15)	0.1	0.795	0.272	0.992	0.362	0.345	0.632	0.697	0.167	0.945	0.227	0.153	0.556	0.682	0.0	1.0	0.0	0.0	0.5
relu	(75,15)	0.01	0.962	0.912	0.981	0.93	0.905	0.947	0.726	0.706	0.735	0.621	0.419	0.721	0.701	0.633	0.733	0.574	0.351	0.683
relu	(75,15)	0.001	0.965	0.918	0.983	0.936	0.913	0.95	0.721	0.722	0.72	0.622	0.417	0.721	0.714	0.714	0.714	0.614	0.404	0.714
relu	(75,15)	0.0001	0.958	0.912	0.975	0.922	0.894	0.944	0.73	0.743	0.724	0.636	0.44	0.733	0.734	0.776	0.714	0.65	0.459	0.745
relu	(100,20)	0.1	0.856	0.523	0.981	0.536	0.504	0.752	0.7	0.38	0.85	0.35	0.221	0.615	0.682	0.0	1.0	0.0	0.0	0.5
relu	(100,20)	0.01	0.971	0.918	0.992	0.946	0.928	0.955	0.731	0.669	0.76	0.613	0.413	0.715	0.708	0.633	0.743	0.579	0.361	0.688
relu	(100,20)	0.001	0.968	0.891	0.998	0.938	0.92	0.944	0.758	0.682	0.794	0.642	0.463	0.738	0.753	0.653	0.8	0.627	0.444	0.727
relu	(100,20)	0.0001	0.962	0.88	0.994	0.927	0.905	0.937	0.773	0.645	0.832	0.644	0.477	0.739	0.786	0.694	0.829	0.673	0.515	0.761
relu	(125,25)	0.1	0.827	0.38	0.996	0.527	0.529	0.688	0.721	0.22	0.954	0.329	0.274	0.587	0.714	0.143	0.981	0.241	0.246	0.562
relu	(125,25)	0.01	0.962	0.907	0.983	0.929	0.905	0.945	0.725	0.665	0.752	0.605	0.401	0.709	0.753	0.653	0.8	0.627	0.444	0.727
