n_estimators	max_depth	max_features	Accuracy	Sensitivity	Specificity	F1-score	MCC	BA	Accuracy_bcv	Sensitivity_bcv	Specificity_bcv	F1-score_bcv	MCC_bcv	BA_bcv	Accuracy_blind	Sensitivity_blind	Specificity_blind	F1-score_blind	MCC_blind	BA_blind
200	None	0.25	1.0	1.0	1.0	1.0	1.0	1.0	0.719	0.429	0.855	0.489	0.31	0.642	0.695	0.327	0.867	0.405	0.227	0.597
200	None	0.5	1.0	1.0	1.0	1.0	1.0	1.0	0.664	0.371	0.8	0.41	0.182	0.586	0.636	0.286	0.8	0.333	0.095	0.543
200	None	0.75	1.0	1.0	1.0	1.0	1.0	1.0	0.682	0.429	0.8	0.462	0.239	0.614	0.675	0.408	0.8	0.444	0.219	0.604
200	None	None	1.0	1.0	1.0	1.0	1.0	1.0	0.656	0.347	0.8	0.389	0.157	0.573	0.682	0.429	0.8	0.462	0.239	0.614
400	None	0.25	1.0	1.0	1.0	1.0	1.0	1.0	0.719	0.441	0.85	0.493	0.312	0.645	0.675	0.408	0.8	0.444	0.219	0.604
400	None	0.5	1.0	1.0	1.0	1.0	1.0	1.0	0.671	0.396	0.8	0.432	0.206	0.598	0.669	0.388	0.8	0.427	0.199	0.594
400	None	0.75	1.0	1.0	1.0	1.0	1.0	1.0	0.679	0.42	0.8	0.455	0.231	0.61	0.669	0.388	0.8	0.427	0.199	0.594
400	None	None	1.0	1.0	1.0	1.0	1.0	1.0	0.669	0.388	0.8	0.425	0.198	0.594	0.682	0.429	0.8	0.462	0.239	0.614
600	None	0.25	1.0	1.0	1.0	1.0	1.0	1.0	0.726	0.441	0.859	0.501	0.326	0.65	0.727	0.429	0.867	0.5	0.328	0.648
600	None	0.5	1.0	1.0	1.0	1.0	1.0	1.0	0.673	0.4	0.8	0.436	0.21	0.6	0.682	0.429	0.8	0.462	0.239	0.614
600	None	0.75	1.0	1.0	1.0	1.0	1.0	1.0	0.674	0.404	0.8	0.44	0.215	0.602	0.682	0.429	0.8	0.462	0.239	0.614
600	None	None	1.0	1.0	1.0	1.0	1.0	1.0	0.67	0.392	0.8	0.429	0.202	0.596	0.682	0.429	0.8	0.462	0.239	0.614
800	None	0.25	1.0	1.0	1.0	1.0	1.0	1.0	0.716	0.416	0.855	0.479	0.298	0.636	0.708	0.429	0.838	0.483	0.288	0.633
800	None	0.5	1.0	1.0	1.0	1.0	1.0	1.0	0.673	0.4	0.8	0.436	0.21	0.6	0.636	0.286	0.8	0.333	0.095	0.543
800	None	0.75	1.0	1.0	1.0	1.0	1.0	1.0	0.673	0.4	0.8	0.436	0.21	0.6	0.682	0.429	0.8	0.462	0.239	0.614
800	None	None	1.0	1.0	1.0	1.0	1.0	1.0	0.669	0.388	0.8	0.426	0.198	0.594	0.682	0.429	0.8	0.462	0.239	0.614
1000	None	0.25	1.0	1.0	1.0	1.0	1.0	1.0	0.722	0.416	0.865	0.486	0.312	0.641	0.727	0.429	0.867	0.5	0.328	0.648
1000	None	0.5	1.0	1.0	1.0	1.0	1.0	1.0	0.673	0.4	0.8	0.436	0.21	0.6	0.636	0.286	0.8	0.333	0.095	0.543
1000	None	0.75	1.0	1.0	1.0	1.0	1.0	1.0	0.673	0.4	0.8	0.436	0.21	0.6	0.682	0.429	0.8	0.462	0.239	0.614
1000	None	None	1.0	1.0	1.0	1.0	1.0	1.0	0.67	0.392	0.8	0.429	0.202	0.596	0.682	0.429	0.8	0.462	0.239	0.614
