n_estimators	max_depth	max_features	Accuracy	Sensitivity	Specificity	F1-score	MCC	BA	Accuracy_bcv	Sensitivity_bcv	Specificity_bcv	F1-score_bcv	MCC_bcv	BA_bcv	Accuracy_blind	Sensitivity_blind	Specificity_blind	F1-score_blind	MCC_blind	BA_blind
200	None	0.25	1.0	1.0	1.0	1.0	1.0	1.0	0.692	0.376	0.84	0.433	0.237	0.608	0.714	0.388	0.867	0.463	0.289	0.627
200	None	0.5	1.0	1.0	1.0	1.0	1.0	1.0	0.661	0.363	0.8	0.403	0.174	0.582	0.669	0.388	0.8	0.427	0.199	0.594
200	None	0.75	1.0	1.0	1.0	1.0	1.0	1.0	0.661	0.363	0.8	0.403	0.174	0.582	0.636	0.286	0.8	0.333	0.095	0.543
200	None	None	1.0	1.0	1.0	1.0	1.0	1.0	0.673	0.4	0.8	0.436	0.21	0.6	0.682	0.429	0.8	0.462	0.239	0.614
400	None	0.25	1.0	1.0	1.0	1.0	1.0	1.0	0.732	0.482	0.85	0.532	0.354	0.666	0.727	0.429	0.867	0.5	0.328	0.648
400	None	0.5	1.0	1.0	1.0	1.0	1.0	1.0	0.664	0.371	0.8	0.41	0.182	0.586	0.682	0.429	0.8	0.462	0.239	0.614
400	None	0.75	1.0	1.0	1.0	1.0	1.0	1.0	0.664	0.371	0.8	0.41	0.182	0.586	0.636	0.286	0.8	0.333	0.095	0.543
400	None	None	1.0	1.0	1.0	1.0	1.0	1.0	0.673	0.4	0.8	0.436	0.21	0.6	0.682	0.429	0.8	0.462	0.239	0.614
600	None	0.25	1.0	1.0	1.0	1.0	1.0	1.0	0.734	0.498	0.844	0.542	0.362	0.671	0.727	0.429	0.867	0.5	0.328	0.648
600	None	0.5	1.0	1.0	1.0	1.0	1.0	1.0	0.664	0.371	0.8	0.41	0.182	0.586	0.682	0.429	0.8	0.462	0.239	0.614
600	None	0.75	1.0	1.0	1.0	1.0	1.0	1.0	0.664	0.371	0.8	0.41	0.182	0.586	0.682	0.429	0.8	0.462	0.239	0.614
600	None	None	1.0	1.0	1.0	1.0	1.0	1.0	0.673	0.4	0.8	0.436	0.21	0.6	0.682	0.429	0.8	0.462	0.239	0.614
800	None	0.25	1.0	1.0	1.0	1.0	1.0	1.0	0.735	0.486	0.851	0.537	0.36	0.669	0.727	0.429	0.867	0.5	0.328	0.648
800	None	0.5	1.0	1.0	1.0	1.0	1.0	1.0	0.668	0.384	0.8	0.422	0.194	0.592	0.682	0.429	0.8	0.462	0.239	0.614
800	None	0.75	1.0	1.0	1.0	1.0	1.0	1.0	0.664	0.371	0.8	0.41	0.182	0.586	0.682	0.429	0.8	0.462	0.239	0.614
800	None	None	1.0	1.0	1.0	1.0	1.0	1.0	0.673	0.4	0.8	0.436	0.21	0.6	0.682	0.429	0.8	0.462	0.239	0.614
1000	None	0.25	1.0	1.0	1.0	1.0	1.0	1.0	0.735	0.478	0.855	0.528	0.355	0.666	0.727	0.429	0.867	0.5	0.328	0.648
1000	None	0.5	1.0	1.0	1.0	1.0	1.0	1.0	0.664	0.371	0.8	0.41	0.182	0.586	0.682	0.429	0.8	0.462	0.239	0.614
1000	None	0.75	1.0	1.0	1.0	1.0	1.0	1.0	0.664	0.371	0.8	0.41	0.182	0.586	0.682	0.429	0.8	0.462	0.239	0.614
1000	None	None	1.0	1.0	1.0	1.0	1.0	1.0	0.673	0.4	0.8	0.436	0.21	0.6	0.682	0.429	0.8	0.462	0.239	0.614
