Kernel	C	degree	gamma	coef0	Min_Dec_Score	Max_Dec_Score	Threshold	Accuracy	Sensitivity	Specificity	F1-score	MCC	BA	Accuracy_bcv	Sensitivity_bcv	Specificity_bcv	F1-score_bcv	MCC_bcv	BA_bcv	Accuracy_blind	Sensitivity_blind	Specificity_blind	F1-score_blind	MCC_blind	BA_blind
poly	1	2	0.1	0	-1.6	1.3	-0.2	0.92	0.808	0.963	0.847	0.795	0.885	0.635	0.257	0.811	0.31	0.08	0.534	0.623	0.286	0.781	0.326	0.073	0.533
poly	1	2	0.1	1	-1.5	1.3	-0.2	0.923	0.813	0.965	0.853	0.803	0.889	0.636	0.282	0.802	0.331	0.095	0.542	0.623	0.286	0.781	0.326	0.073	0.533
poly	1	2	0.1	2	-1.5	1.3	-0.2	0.925	0.814	0.967	0.855	0.807	0.89	0.636	0.29	0.798	0.338	0.1	0.544	0.63	0.306	0.781	0.345	0.094	0.544
poly	1	2	0.1	3	-1.5	1.2	-0.2	0.925	0.808	0.969	0.854	0.807	0.889	0.64	0.314	0.792	0.358	0.117	0.553	0.617	0.306	0.762	0.337	0.072	0.534
poly	1	2	0.01	0	-1.6	1.3	-0.2	0.92	0.808	0.963	0.847	0.795	0.885	0.635	0.257	0.811	0.31	0.08	0.534	0.623	0.286	0.781	0.326	0.073	0.533
poly	1	2	0.01	1	-1.5	1.2	-0.1	0.935	0.781	0.994	0.868	0.836	0.887	0.662	0.286	0.838	0.35	0.145	0.562	0.636	0.265	0.81	0.317	0.085	0.537
poly	1	2	0.01	2	-1.6	1.2	-0.2	0.941	0.814	0.99	0.883	0.851	0.902	0.688	0.527	0.764	0.518	0.288	0.645	0.701	0.571	0.762	0.549	0.327	0.667
poly	1	2	0.01	3	-1.7	1.2	-0.3	0.952	0.879	0.979	0.909	0.878	0.929	0.712	0.714	0.71	0.612	0.4	0.712	0.734	0.796	0.705	0.655	0.468	0.75
poly	1	2	0.001	0	-1.5	1.3	-0.3	0.919	0.847	0.946	0.851	0.795	0.896	0.622	0.339	0.754	0.363	0.097	0.547	0.597	0.327	0.724	0.34	0.052	0.525
poly	1	2	0.001	1	-2.0	1.2	-0.3	0.968	0.929	0.983	0.941	0.92	0.956	0.735	0.796	0.707	0.657	0.471	0.751	0.747	0.816	0.714	0.672	0.496	0.765
poly	1	2	0.001	2	-2.1	1.3	-0.2	0.971	0.918	0.992	0.946	0.928	0.955	0.739	0.747	0.735	0.645	0.455	0.741	0.734	0.755	0.724	0.643	0.451	0.739
poly	1	2	0.001	3	-2.1	1.6	-0.2	0.97	0.923	0.988	0.943	0.924	0.955	0.736	0.739	0.735	0.64	0.448	0.737	0.734	0.755	0.724	0.643	0.451	0.739
