Kernel	C	degree	gamma	coef0	Min_Dec_Score	Max_Dec_Score	Threshold	Accuracy	Sensitivity	Specificity	F1-score	MCC	BA	Accuracy_bcv	Sensitivity_bcv	Specificity_bcv	F1-score_bcv	MCC_bcv	BA_bcv	Accuracy_blind	Sensitivity_blind	Specificity_blind	F1-score_blind	MCC_blind	BA_blind
poly	1	2	0.1	0	-2.2	2.4	-0.1	0.964	0.907	0.985	0.932	0.909	0.946	0.719	0.18	0.971	0.286	0.261	0.576	0.714	0.163	0.971	0.267	0.244	0.567
poly	1	2	0.1	1	-1.9	1.6	-0.2	0.97	0.924	0.988	0.944	0.925	0.956	0.757	0.351	0.947	0.479	0.39	0.649	0.753	0.367	0.933	0.486	0.38	0.65
poly	1	2	0.1	2	-1.8	1.3	-0.1	0.97	0.918	0.99	0.943	0.925	0.954	0.762	0.331	0.964	0.469	0.408	0.647	0.773	0.347	0.971	0.493	0.441	0.659
poly	1	2	0.1	3	-1.6	1.3	-0.3	0.974	0.951	0.983	0.953	0.937	0.967	0.755	0.527	0.861	0.577	0.411	0.694	0.753	0.551	0.848	0.587	0.414	0.699
poly	1	2	0.01	0	-2.2	2.4	-0.1	0.964	0.907	0.985	0.932	0.909	0.946	0.719	0.18	0.971	0.286	0.261	0.576	0.714	0.163	0.971	0.267	0.244	0.567
poly	1	2	0.01	1	-1.6	1.3	-0.4	0.983	0.984	0.983	0.97	0.959	0.984	0.735	0.776	0.716	0.651	0.462	0.746	0.727	0.776	0.705	0.644	0.45	0.74
poly	1	2	0.01	2	-1.7	1.3	-0.2	0.986	0.967	0.994	0.975	0.966	0.981	0.73	0.641	0.771	0.602	0.4	0.706	0.721	0.633	0.762	0.59	0.382	0.697
poly	1	2	0.01	3	-1.8	1.3	-0.2	0.986	0.973	0.992	0.975	0.966	0.982	0.725	0.645	0.762	0.598	0.393	0.703	0.727	0.653	0.762	0.604	0.4	0.707
poly	1	2	0.001	0	-2.1	1.7	-0.5	0.943	0.896	0.961	0.895	0.857	0.928	0.73	0.38	0.893	0.472	0.323	0.636	0.734	0.388	0.895	0.481	0.333	0.641
poly	1	2	0.001	1	-2.2	1.5	-0.2	0.988	0.989	0.988	0.979	0.971	0.988	0.706	0.637	0.739	0.579	0.36	0.688	0.701	0.633	0.733	0.574	0.351	0.683
poly	1	2	0.001	2	-2.5	1.9	-0.2	0.994	0.995	0.994	0.989	0.985	0.994	0.703	0.596	0.752	0.56	0.338	0.674	0.695	0.571	0.752	0.544	0.316	0.662
poly	1	2	0.001	3	-2.6	2.2	-0.1	0.995	0.995	0.996	0.992	0.989	0.995	0.7	0.543	0.773	0.535	0.314	0.658	0.714	0.571	0.781	0.56	0.349	0.676
poly	1	3	0.1	0	-15.1	2.6	-0.4	0.965	0.918	0.983	0.935	0.913	0.951	0.699	0.343	0.865	0.419	0.24	0.604	0.714	0.408	0.857	0.476	0.295	0.633
poly	1	3	0.1	1	-12.9	2.2	-0.5	0.97	0.951	0.977	0.945	0.926	0.964	0.722	0.518	0.817	0.543	0.345	0.668	0.727	0.551	0.81	0.562	0.365	0.68
poly	1	3	0.1	2	-10.9	1.9	-0.4	0.973	0.94	0.986	0.95	0.932	0.963	0.722	0.408	0.869	0.483	0.311	0.638	0.727	0.469	0.848	0.523	0.34	0.659
poly	1	3	0.1	3	-9.4	1.8	-0.5	0.973	0.957	0.979	0.951	0.933	0.968	0.735	0.559	0.817	0.573	0.382	0.688	0.747	0.592	0.819	0.598	0.413	0.705
