Kernel	C	gamma	Min_Dec_Score	Max_Dec_Score	Threshold	Accuracy	Sensitivity	Specificity	F1-score	MCC	BA	Accuracy_bcv	Sensitivity_bcv	Specificity_bcv	F1-score_bcv	MCC_bcv	BA_bcv	Accuracy_blind	Sensitivity_blind	Specificity_blind	F1-score_blind	MCC_blind	BA_blind
RBF	1	0.1	-0.5	-0.5	-0.5	0.274	1.0	0.0	0.43	0.0	0.5	0.318	1.0	0.0	0.483	0.0	0.5	0.318	1.0	0.0	0.483	0.0	0.5
RBF	1	0.01	-0.6	0.1	-0.4	0.749	0.082	1.0	0.15	0.241	0.541	0.682	0.0	1.0	0.0	0.0	0.5	0.682	0.0	1.0	0.0	0.0	0.5
RBF	1	0.001	-1.4	1.1	-0.3	0.901	0.863	0.915	0.827	0.761	0.889	0.616	0.718	0.568	0.543	0.267	0.643	0.623	0.755	0.562	0.561	0.296	0.659
RBF	1	0.0001	-1.7	1.3	0.0	0.896	0.698	0.971	0.786	0.731	0.835	0.714	0.641	0.749	0.588	0.375	0.695	0.721	0.673	0.743	0.606	0.398	0.708
RBF	1	1e-05	-1.0	0.6	-0.3	0.812	0.467	0.942	0.575	0.495	0.705	0.708	0.339	0.88	0.418	0.264	0.609	0.695	0.51	0.781	0.515	0.293	0.646
RBF	5	0.1	-0.5	-0.5	-0.5	0.274	1.0	0.0	0.43	0.0	0.5	0.318	1.0	0.0	0.483	0.0	0.5	0.318	1.0	0.0	0.483	0.0	0.5
RBF	5	0.01	-0.6	0.1	-0.4	0.749	0.082	1.0	0.15	0.241	0.541	0.682	0.0	1.0	0.0	0.0	0.5	0.682	0.0	1.0	0.0	0.0	0.5
RBF	5	0.001	-1.4	1.1	-0.3	0.911	0.863	0.93	0.843	0.783	0.896	0.627	0.702	0.592	0.545	0.274	0.647	0.63	0.735	0.581	0.558	0.294	0.658
RBF	5	0.0001	-1.9	1.4	-0.1	0.95	0.885	0.975	0.907	0.874	0.93	0.684	0.722	0.667	0.593	0.364	0.695	0.688	0.735	0.667	0.6	0.375	0.701
RBF	5	1e-05	-1.6	1.4	0.0	0.878	0.665	0.959	0.75	0.684	0.812	0.751	0.612	0.815	0.609	0.427	0.714	0.74	0.673	0.771	0.623	0.429	0.722
RBF	10	0.1	-0.5	-0.5	-0.5	0.274	1.0	0.0	0.43	0.0	0.5	0.318	1.0	0.0	0.483	0.0	0.5	0.318	1.0	0.0	0.483	0.0	0.5
RBF	10	0.01	-0.6	0.1	-0.4	0.749	0.082	1.0	0.15	0.241	0.541	0.682	0.0	1.0	0.0	0.0	0.5	0.682	0.0	1.0	0.0	0.0	0.5
RBF	10	0.001	-1.4	1.1	-0.3	0.911	0.863	0.93	0.843	0.783	0.896	0.627	0.702	0.592	0.545	0.274	0.647	0.63	0.735	0.581	0.558	0.294	0.658
RBF	10	0.0001	-1.9	1.6	-0.1	0.968	0.918	0.988	0.94	0.92	0.953	0.687	0.739	0.663	0.601	0.375	0.701	0.688	0.714	0.676	0.593	0.366	0.695
RBF	10	1e-05	-1.7	1.4	0.1	0.908	0.693	0.99	0.805	0.765	0.841	0.768	0.616	0.838	0.628	0.46	0.727	0.76	0.612	0.829	0.619	0.443	0.72
