Kernel	C	gamma	Min_Dec_Score	Max_Dec_Score	Threshold	Accuracy	Sensitivity	Specificity	F1-score	MCC	BA	Accuracy_bcv	Sensitivity_bcv	Specificity_bcv	F1-score_bcv	MCC_bcv	BA_bcv	Accuracy_blind	Sensitivity_blind	Specificity_blind	F1-score_blind	MCC_blind	BA_blind
RBF	1	0.1	-0.5	-0.4	-0.4	0.729	0.011	1.0	0.022	0.057	0.506	0.682	0.0	1.0	0.0	0.0	0.5	0.682	0.0	1.0	0.0	0.0	0.5
RBF	1	0.01	-1.1	1.0	-0.4	0.833	0.889	0.811	0.751	0.667	0.85	0.61	0.469	0.676	0.382	0.158	0.573	0.597	0.592	0.6	0.483	0.179	0.596
RBF	1	0.001	-1.7	1.3	-0.1	0.964	0.923	0.979	0.934	0.911	0.951	0.683	0.661	0.693	0.568	0.336	0.677	0.649	0.612	0.667	0.526	0.263	0.639
RBF	1	0.0001	-1.7	1.3	0.0	0.899	0.699	0.975	0.79	0.738	0.837	0.74	0.657	0.779	0.617	0.424	0.718	0.727	0.653	0.762	0.604	0.4	0.707
RBF	1	1e-05	-1.0	-0.2	-0.5	0.841	0.649	0.913	0.704	0.623	0.781	0.73	0.645	0.77	0.604	0.412	0.707	0.318	1.0	0.0	0.483	0.0	0.5
RBF	5	0.1	-0.5	-0.4	-0.4	0.729	0.011	1.0	0.022	0.057	0.506	0.682	0.0	1.0	0.0	0.0	0.5	0.682	0.0	1.0	0.0	0.0	0.5
RBF	5	0.01	-1.1	1.0	-0.4	0.833	0.889	0.811	0.751	0.667	0.85	0.61	0.469	0.676	0.382	0.158	0.573	0.597	0.592	0.6	0.483	0.179	0.596
RBF	5	0.001	-1.7	1.3	-0.1	0.977	0.935	0.994	0.958	0.944	0.964	0.688	0.51	0.771	0.509	0.283	0.641	0.695	0.49	0.79	0.505	0.285	0.64
RBF	5	0.0001	-2.1	1.8	-0.2	0.973	0.978	0.971	0.952	0.934	0.974	0.669	0.731	0.64	0.584	0.346	0.685	0.675	0.714	0.657	0.583	0.347	0.686
RBF	5	1e-05	-1.7	1.2	0.0	0.884	0.649	0.973	0.754	0.699	0.811	0.762	0.653	0.813	0.636	0.46	0.733	0.773	0.653	0.829	0.646	0.479	0.741
RBF	10	0.1	-0.5	-0.4	-0.4	0.729	0.011	1.0	0.022	0.057	0.506	0.682	0.0	1.0	0.0	0.0	0.5	0.682	0.0	1.0	0.0	0.0	0.5
RBF	10	0.01	-1.1	1.0	-0.4	0.833	0.889	0.811	0.751	0.667	0.85	0.61	0.469	0.676	0.382	0.158	0.573	0.597	0.592	0.6	0.483	0.179	0.596
RBF	10	0.001	-1.7	1.3	-0.1	0.977	0.935	0.994	0.958	0.944	0.964	0.688	0.51	0.771	0.509	0.283	0.641	0.695	0.49	0.79	0.505	0.285	0.64
RBF	10	0.0001	-2.2	1.9	0.1	0.988	0.962	0.998	0.977	0.97	0.98	0.686	0.624	0.714	0.558	0.323	0.669	0.688	0.633	0.714	0.564	0.33	0.673
RBF	10	1e-05	-2.2	1.4	0.0	0.902	0.699	0.979	0.794	0.745	0.839	0.745	0.645	0.792	0.617	0.428	0.719	0.74	0.653	0.781	0.615	0.422	0.717
