activation	layers	learning_rate	Accuracy	Sensitivity	Specificity	F1-score	MCC	BA	Accuracy_bcv	Sensitivity_bcv	Specificity_bcv	F1-score_bcv	MCC_bcv	BA_bcv	Accuracy_blind	Sensitivity_blind	Specificity_blind	F1-score_blind	MCC_blind	BA_blind
relu	(25,)	0.1	0.952	0.961	0.944	0.953	0.905	0.952	0.866	0.964	0.768	0.878	0.747	0.866	0.876	0.981	0.771	0.888	0.769	0.876
relu	(25,)	0.01	0.97	0.981	0.959	0.97	0.94	0.97	0.858	0.981	0.735	0.874	0.739	0.858	0.905	0.99	0.819	0.912	0.822	0.905
relu	(25,)	0.001	0.98	0.99	0.971	0.981	0.961	0.98	0.862	0.979	0.745	0.876	0.745	0.862	0.867	0.99	0.743	0.881	0.757	0.867
relu	(25,)	0.0001	0.971	0.977	0.965	0.971	0.942	0.971	0.873	0.977	0.77	0.885	0.763	0.873	0.886	0.99	0.781	0.897	0.789	0.886
relu	(50,)	0.1	0.949	0.955	0.944	0.95	0.899	0.949	0.841	0.941	0.741	0.856	0.697	0.841	0.905	0.971	0.838	0.911	0.817	0.905
relu	(50,)	0.01	0.965	0.971	0.959	0.965	0.93	0.965	0.856	0.979	0.733	0.872	0.735	0.856	0.876	0.981	0.771	0.888	0.769	0.876
relu	(50,)	0.001	0.978	0.988	0.969	0.979	0.957	0.978	0.854	0.981	0.728	0.871	0.733	0.854	0.857	0.99	0.724	0.874	0.741	0.857
relu	(50,)	0.0001	0.973	0.979	0.967	0.973	0.946	0.973	0.856	0.971	0.741	0.871	0.733	0.856	0.876	0.99	0.762	0.889	0.773	0.876
relu	(75,)	0.1	0.957	0.979	0.934	0.958	0.914	0.956	0.842	0.952	0.731	0.858	0.702	0.842	0.867	0.962	0.771	0.878	0.747	0.867
relu	(75,)	0.01	0.964	0.983	0.944	0.965	0.928	0.964	0.867	0.971	0.762	0.879	0.751	0.867	0.89	0.99	0.79	0.9	0.797	0.89
relu	(75,)	0.001	0.979	0.99	0.969	0.98	0.959	0.979	0.867	0.973	0.76	0.879	0.751	0.867	0.886	0.99	0.781	0.897	0.789	0.886
relu	(75,)	0.0001	0.977	0.99	0.965	0.978	0.955	0.977	0.856	0.973	0.739	0.871	0.734	0.856	0.876	0.99	0.762	0.889	0.773	0.876
relu	(100,)	0.1	0.963	0.983	0.942	0.964	0.926	0.963	0.855	0.973	0.737	0.871	0.733	0.855	0.867	0.905	0.829	0.872	0.735	0.867
relu	(100,)	0.01	0.968	0.981	0.954	0.968	0.936	0.968	0.866	0.968	0.764	0.878	0.747	0.866	0.876	0.99	0.762	0.889	0.773	0.876
relu	(100,)	0.001	0.979	0.99	0.969	0.98	0.959	0.979	0.881	0.977	0.785	0.891	0.777	0.881	0.895	0.99	0.8	0.904	0.805	0.895
relu	(100,)	0.0001	0.977	0.986	0.969	0.978	0.955	0.977	0.862	0.977	0.747	0.876	0.744	0.862	0.886	0.99	0.781	0.897	0.789	0.886
relu	(125,)	0.1	0.965	0.977	0.952	0.965	0.93	0.965	0.876	0.973	0.779	0.887	0.768	0.876	0.886	0.971	0.8	0.895	0.783	0.886
relu	(125,)	0.01	0.965	0.979	0.95	0.965	0.93	0.965	0.856	0.977	0.735	0.872	0.735	0.856	0.867	0.99	0.743	0.881	0.757	0.867
relu	(125,)	0.001	0.969	0.988	0.95	0.97	0.939	0.969	0.881	0.975	0.787	0.891	0.776	0.881	0.895	0.99	0.8	0.904	0.805	0.895
relu	(125,)	0.0001	0.967	0.985	0.948	0.968	0.935	0.967	0.859	0.977	0.741	0.874	0.739	0.859	0.876	0.99	0.762	0.889	0.773	0.876
relu	(150,)	0.1	0.946	0.944	0.948	0.946	0.893	0.946	0.852	0.947	0.758	0.866	0.719	0.852	0.862	0.962	0.762	0.874	0.739	0.862
relu	(150,)	0.01	0.966	0.979	0.952	0.966	0.932	0.966	0.864	0.97	0.758	0.877	0.745	0.864	0.876	0.981	0.771	0.888	0.769	0.876
relu	(150,)	0.001	0.982	0.992	0.973	0.983	0.965	0.982	0.853	0.975	0.731	0.869	0.729	0.853	0.857	0.99	0.724	0.874	0.741	0.857
