activation	layers	learning_rate	Accuracy	Sensitivity	Specificity	F1-score	MCC	BA	Accuracy_bcv	Sensitivity_bcv	Specificity_bcv	F1-score_bcv	MCC_bcv	BA_bcv	Accuracy_blind	Sensitivity_blind	Specificity_blind	F1-score_blind	MCC_blind	BA_blind
relu	(25,)	0.1	0.98	0.99	0.971	0.981	0.961	0.98	0.889	0.989	0.789	0.899	0.793	0.889	0.91	0.99	0.829	0.916	0.83	0.91
relu	(25,)	0.01	0.992	0.994	0.99	0.992	0.983	0.992	0.88	0.99	0.77	0.892	0.779	0.88	0.881	0.99	0.771	0.893	0.781	0.881
relu	(25,)	0.001	0.993	0.996	0.99	0.993	0.986	0.993	0.89	0.989	0.79	0.9	0.795	0.89	0.886	0.99	0.781	0.897	0.789	0.886
relu	(25,)	0.0001	0.991	0.992	0.99	0.991	0.981	0.991	0.883	0.975	0.79	0.893	0.779	0.883	0.9	0.981	0.819	0.907	0.811	0.9
relu	(50,)	0.1	0.98	0.99	0.971	0.981	0.961	0.98	0.866	0.981	0.75	0.88	0.752	0.866	0.876	0.981	0.771	0.888	0.769	0.876
relu	(50,)	0.01	0.995	0.996	0.994	0.995	0.99	0.995	0.888	0.99	0.785	0.898	0.792	0.888	0.9	0.99	0.81	0.908	0.813	0.9
relu	(50,)	0.001	0.995	1.0	0.99	0.995	0.99	0.995	0.896	0.996	0.796	0.906	0.809	0.896	0.895	1.0	0.79	0.905	0.808	0.895
relu	(50,)	0.0001	0.993	0.998	0.988	0.993	0.986	0.993	0.895	0.987	0.804	0.904	0.804	0.895	0.905	1.0	0.81	0.913	0.825	0.905
relu	(75,)	0.1	0.972	0.986	0.959	0.973	0.945	0.972	0.872	0.987	0.758	0.885	0.765	0.872	0.91	0.981	0.838	0.916	0.828	0.91
relu	(75,)	0.01	0.99	0.994	0.985	0.99	0.979	0.99	0.873	0.983	0.764	0.886	0.766	0.873	0.89	0.99	0.79	0.9	0.797	0.89
relu	(75,)	0.001	0.992	0.998	0.985	0.992	0.984	0.992	0.877	0.99	0.764	0.89	0.775	0.877	0.886	0.99	0.781	0.897	0.789	0.886
relu	(75,)	0.0001	0.99	0.996	0.983	0.99	0.979	0.99	0.87	0.979	0.76	0.882	0.758	0.87	0.871	0.981	0.762	0.884	0.761	0.871
relu	(100,)	0.1	0.976	0.992	0.961	0.977	0.953	0.976	0.869	0.985	0.752	0.883	0.76	0.869	0.876	0.99	0.762	0.889	0.773	0.876
relu	(100,)	0.01	0.987	0.994	0.979	0.987	0.973	0.987	0.866	0.983	0.749	0.88	0.752	0.866	0.871	1.0	0.743	0.886	0.769	0.871
relu	(100,)	0.001	0.994	1.0	0.988	0.994	0.988	0.994	0.878	0.992	0.764	0.891	0.777	0.878	0.881	1.0	0.762	0.894	0.784	0.881
relu	(100,)	0.0001	0.993	0.998	0.988	0.993	0.986	0.993	0.87	0.985	0.754	0.883	0.76	0.87	0.881	0.99	0.771	0.893	0.781	0.881
relu	(125,)	0.1	0.977	0.992	0.963	0.978	0.955	0.977	0.858	0.979	0.737	0.874	0.74	0.858	0.862	0.99	0.733	0.878	0.749	0.862
relu	(125,)	0.01	0.996	0.998	0.994	0.996	0.992	0.996	0.874	0.989	0.76	0.887	0.769	0.874	0.871	1.0	0.743	0.886	0.769	0.871
relu	(125,)	0.001	0.994	1.0	0.988	0.994	0.988	0.994	0.878	0.992	0.764	0.891	0.777	0.878	0.876	0.99	0.762	0.889	0.773	0.876
relu	(125,)	0.0001	0.991	0.998	0.983	0.991	0.982	0.991	0.871	0.983	0.76	0.884	0.762	0.871	0.881	1.0	0.762	0.894	0.784	0.881
relu	(150,)	0.1	0.981	0.986	0.977	0.981	0.963	0.981	0.865	0.99	0.739	0.88	0.755	0.865	0.929	0.99	0.867	0.933	0.864	0.929
relu	(150,)	0.01	0.991	0.992	0.99	0.991	0.981	0.991	0.872	0.989	0.756	0.886	0.766	0.872	0.876	0.99	0.762	0.889	0.773	0.876
relu	(150,)	0.001	0.991	0.996	0.985	0.991	0.981	0.991	0.888	0.994	0.781	0.898	0.794	0.888	0.886	0.99	0.781	0.897	0.789	0.886
relu	(150,)	0.0001	0.988	0.992	0.983	0.988	0.975	0.988	0.884	0.985	0.783	0.894	0.784	0.884	0.895	1.0	0.79	0.905	0.808	0.895
relu	(175,)	0.1	0.992	0.992	0.992	0.992	0.984	0.992	0.864	0.987	0.741	0.879	0.751	0.864	0.89	0.99	0.79	0.9	0.797	0.89
relu	(175,)	0.01	0.99	0.994	0.985	0.99	0.979	0.99	0.872	0.989	0.756	0.886	0.766	0.872	0.843	1.0	0.686	0.864	0.722	0.843
relu	(175,)	0.001	0.992	0.998	0.986	0.992	0.984	0.992	0.881	0.994	0.768	0.893	0.782	0.881	0.886	0.99	0.781	0.897	0.789	0.886
relu	(175,)	0.0001	0.988	0.994	0.981	0.988	0.975	0.988	0.871	0.987	0.756	0.885	0.763	0.871	0.886	0.99	0.781	0.897	0.789	0.886
relu	(200,)	0.1	0.976	0.981	0.971	0.976	0.953	0.976	0.893	0.983	0.804	0.902	0.8	0.893	0.89	0.971	0.81	0.899	0.791	0.89
relu	(200,)	0.01	0.997	1.0	0.994	0.997	0.994	0.997	0.888	0.987	0.789	0.898	0.791	0.888	0.895	0.99	0.8	0.904	0.805	0.895
relu	(200,)	0.001	0.991	0.994	0.988	0.991	0.981	0.991	0.884	0.987	0.781	0.895	0.785	0.884	0.89	0.99	0.79	0.9	0.797	0.89
relu	(200,)	0.0001	0.989	0.99	0.988	0.989	0.977	0.989	0.88	0.981	0.779	0.891	0.776	0.88	0.89	0.99	0.79	0.9	0.797	0.89
relu	(225,)	0.1	0.978	0.981	0.975	0.978	0.957	0.978	0.862	0.987	0.737	0.877	0.748	0.862	0.848	0.99	0.705	0.867	0.725	0.848
relu	(225,)	0.01	0.99	1.0	0.979	0.99	0.98	0.99	0.873	0.989	0.758	0.886	0.767	0.873	0.905	0.99	0.819	0.912	0.822	0.905
relu	(225,)	0.001	0.992	0.998	0.985	0.992	0.984	0.992	0.881	0.99	0.771	0.893	0.781	0.881	0.895	0.99	0.8	0.904	0.805	0.895
relu	(225,)	0.0001	0.991	0.998	0.983	0.991	0.982	0.991	0.876	0.987	0.766	0.888	0.772	0.876	0.9	1.0	0.8	0.909	0.816	0.9
relu	(250,)	0.1	0.98	0.99	0.971	0.981	0.961	0.98	0.873	0.99	0.756	0.887	0.768	0.873	0.89	0.99	0.79	0.9	0.797	0.89
relu	(250,)	0.01	0.99	0.992	0.988	0.99	0.979	0.99	0.882	0.99	0.773	0.893	0.783	0.882	0.881	0.99	0.771	0.893	0.781	0.881
relu	(250,)	0.001	0.995	1.0	0.99	0.995	0.99	0.995	0.882	0.996	0.768	0.894	0.785	0.882	0.89	1.0	0.781	0.901	0.8	0.89
relu	(250,)	0.0001	0.99	0.996	0.983	0.99	0.979	0.99	0.88	0.989	0.771	0.892	0.779	0.88	0.881	1.0	0.762	0.894	0.784	0.881
relu	(275,)	0.1	0.976	0.975	0.977	0.976	0.953	0.976	0.886	0.977	0.794	0.896	0.785	0.886	0.876	0.99	0.762	0.889	0.773	0.876
relu	(275,)	0.01	0.993	0.992	0.994	0.993	0.986	0.993	0.886	0.989	0.783	0.896	0.789	0.886	0.881	0.99	0.771	0.893	0.781	0.881
relu	(275,)	0.001	0.993	0.994	0.992	0.993	0.986	0.993	0.883	0.989	0.777	0.894	0.783	0.883	0.881	0.99	0.771	0.893	0.781	0.881
relu	(275,)	0.0001	0.99	0.99	0.99	0.99	0.979	0.99	0.881	0.981	0.781	0.892	0.778	0.881	0.886	0.981	0.79	0.896	0.786	0.886
relu	(300,)	0.1	0.98	0.981	0.979	0.98	0.961	0.98	0.882	0.99	0.773	0.894	0.783	0.882	0.905	0.981	0.829	0.912	0.819	0.905
relu	(300,)	0.01	0.991	0.992	0.99	0.991	0.981	0.991	0.876	0.99	0.762	0.889	0.773	0.876	0.881	0.99	0.771	0.893	0.781	0.881
relu	(300,)	0.001	0.992	1.0	0.983	0.992	0.984	0.992	0.878	0.99	0.766	0.891	0.776	0.878	0.89	0.99	0.79	0.9	0.797	0.89
relu	(300,)	0.0001	0.989	0.998	0.979	0.989	0.978	0.989	0.87	0.979	0.76	0.883	0.758	0.87	0.89	0.981	0.8	0.9	0.794	0.89
relu	(25,5)	0.1	0.683	0.592	0.771	0.507	0.401	0.681	0.611	0.571	0.651	0.455	0.275	0.611	0.914	0.962	0.867	0.918	0.832	0.914
relu	(25,5)	0.01	0.984	0.992	0.977	0.985	0.969	0.984	0.869	0.987	0.75	0.882	0.759	0.869	0.876	0.981	0.771	0.888	0.769	0.876
relu	(25,5)	0.001	0.989	0.998	0.979	0.989	0.977	0.989	0.87	0.994	0.745	0.884	0.763	0.87	0.871	1.0	0.743	0.886	0.769	0.871
relu	(25,5)	0.0001	0.987	0.996	0.977	0.987	0.973	0.987	0.867	0.983	0.75	0.881	0.754	0.867	0.886	1.0	0.771	0.897	0.792	0.886
relu	(50,10)	0.1	0.668	0.801	0.534	0.691	0.373	0.667	0.637	0.79	0.484	0.662	0.32	0.637	0.524	0.048	1.0	0.091	0.156	0.524
relu	(50,10)	0.01	0.979	0.983	0.975	0.98	0.959	0.979	0.876	0.992	0.76	0.889	0.774	0.876	0.881	1.0	0.762	0.894	0.784	0.881
relu	(50,10)	0.001	0.99	0.996	0.983	0.99	0.979	0.99	0.886	0.998	0.773	0.897	0.792	0.886	0.876	1.0	0.752	0.89	0.777	0.876
relu	(50,10)	0.0001	0.991	1.0	0.981	0.991	0.982	0.991	0.878	0.996	0.76	0.891	0.778	0.878	0.881	1.0	0.762	0.894	0.784	0.881
relu	(75,15)	0.1	0.73	0.578	0.881	0.632	0.547	0.73	0.668	0.537	0.798	0.554	0.407	0.668	0.695	0.533	0.857	0.636	0.413	0.695
relu	(75,15)	0.01	0.987	0.988	0.986	0.987	0.973	0.987	0.87	0.983	0.758	0.884	0.761	0.87	0.876	0.981	0.771	0.888	0.769	0.876
relu	(75,15)	0.001	0.987	0.996	0.977	0.987	0.973	0.987	0.875	0.994	0.756	0.889	0.773	0.875	0.886	1.0	0.771	0.897	0.792	0.886
relu	(75,15)	0.0001	0.99	1.0	0.979	0.99	0.98	0.99	0.866	0.994	0.737	0.881	0.757	0.866	0.871	1.0	0.743	0.886	0.769	0.871
relu	(100,20)	0.1	0.567	0.192	0.942	0.171	0.138	0.567	0.553	0.194	0.912	0.161	0.117	0.553	0.5	1.0	0.0	0.667	0.0	0.5
relu	(100,20)	0.01	0.989	0.994	0.983	0.989	0.977	0.989	0.898	0.992	0.804	0.907	0.811	0.898	0.905	0.99	0.819	0.912	0.822	0.905
relu	(100,20)	0.001	0.992	0.996	0.988	0.992	0.984	0.992	0.896	0.994	0.798	0.905	0.808	0.896	0.905	1.0	0.81	0.913	0.825	0.905
relu	(100,20)	0.0001	0.992	0.99	0.994	0.992	0.984	0.992	0.893	0.981	0.806	0.902	0.799	0.893	0.9	0.99	0.81	0.908	0.813	0.9
relu	(125,25)	0.1	0.79	0.873	0.706	0.821	0.622	0.79	0.719	0.844	0.594	0.756	0.474	0.719	0.871	0.971	0.771	0.883	0.758	0.871
relu	(125,25)	0.01	0.981	0.979	0.983	0.981	0.963	0.981	0.89	0.975	0.806	0.899	0.793	0.89	0.881	1.0	0.762	0.894	0.784	0.881
relu	(125,25)	0.001	0.991	0.994	0.988	0.991	0.981	0.991	0.9	0.992	0.808	0.909	0.814	0.9	0.914	1.0	0.829	0.921	0.841	0.914
relu	(125,25)	0.0001	0.993	0.992	0.994	0.993	0.986	0.993	0.894	0.987	0.802	0.903	0.803	0.894	0.905	1.0	0.81	0.913	0.825	0.905
relu	(150,30)	0.1	0.881	0.831	0.929	0.829	0.795	0.88	0.792	0.804	0.781	0.742	0.628	0.792	0.514	0.029	1.0	0.056	0.12	0.514
relu	(150,30)	0.01	0.99	0.99	0.99	0.99	0.979	0.99	0.88	0.983	0.777	0.891	0.777	0.88	0.871	0.981	0.762	0.884	0.761	0.871
relu	(150,30)	0.001	0.989	0.994	0.983	0.989	0.977	0.989	0.876	0.987	0.766	0.889	0.772	0.876	0.881	1.0	0.762	0.894	0.784	0.881
relu	(150,30)	0.0001	0.989	0.996	0.981	0.989	0.977	0.989	0.873	0.994	0.752	0.887	0.77	0.873	0.886	1.0	0.771	0.897	0.792	0.886
relu	(175,35)	0.1	0.577	0.996	0.157	0.702	0.277	0.577	0.552	0.994	0.11	0.69	0.222	0.552	0.529	1.0	0.057	0.68	0.171	0.529
relu	(175,35)	0.01	0.98	0.986	0.975	0.981	0.961	0.98	0.878	0.981	0.775	0.889	0.773	0.878	0.895	0.99	0.8	0.904	0.805	0.895
relu	(175,35)	0.001	0.989	0.994	0.983	0.989	0.977	0.989	0.88	0.99	0.77	0.892	0.779	0.88	0.895	0.99	0.8	0.904	0.805	0.895
relu	(175,35)	0.0001	0.99	0.992	0.988	0.99	0.98	0.99	0.874	0.989	0.76	0.887	0.769	0.874	0.886	1.0	0.771	0.897	0.792	0.886
relu	(200,40)	0.1	0.537	0.998	0.076	0.683	0.165	0.537	0.524	1.0	0.048	0.678	0.132	0.524	0.51	1.0	0.019	0.671	0.098	0.51
relu	(200,40)	0.01	0.991	0.992	0.99	0.991	0.981	0.991	0.887	0.989	0.785	0.897	0.79	0.887	0.895	0.99	0.8	0.904	0.805	0.895
relu	(200,40)	0.001	0.995	0.998	0.992	0.995	0.99	0.995	0.889	0.983	0.794	0.898	0.792	0.889	0.89	0.99	0.79	0.9	0.797	0.89
