n_estimators	max_depth	max_features	Accuracy	Sensitivity	Specificity	F1-score	MCC	BA	Accuracy_bcv	Sensitivity_bcv	Specificity_bcv	F1-score_bcv	MCC_bcv	BA_bcv	Accuracy_blind	Sensitivity_blind	Specificity_blind	F1-score_blind	MCC_blind	BA_blind
200	None	0.25	1.0	1.0	1.0	1.0	1.0	1.0	0.912	1.0	0.825	0.919	0.838	0.912	0.924	1.0	0.848	0.929	0.858	0.924
200	None	0.5	1.0	1.0	1.0	1.0	1.0	1.0	0.904	1.0	0.808	0.912	0.823	0.904	0.933	1.0	0.867	0.938	0.874	0.933
200	None	0.75	1.0	1.0	1.0	1.0	1.0	1.0	0.901	1.0	0.802	0.91	0.818	0.901	0.9	1.0	0.8	0.909	0.816	0.9
200	None	None	1.0	1.0	1.0	1.0	1.0	1.0	0.89	1.0	0.781	0.902	0.801	0.89	0.919	1.0	0.838	0.925	0.849	0.919
400	None	0.25	1.0	1.0	1.0	1.0	1.0	1.0	0.91	1.0	0.819	0.917	0.833	0.91	0.91	1.0	0.819	0.917	0.833	0.91
400	None	0.5	1.0	1.0	1.0	1.0	1.0	1.0	0.903	1.0	0.806	0.911	0.821	0.903	0.933	1.0	0.867	0.938	0.874	0.933
400	None	0.75	1.0	1.0	1.0	1.0	1.0	1.0	0.9	1.0	0.8	0.909	0.816	0.9	0.9	1.0	0.8	0.909	0.816	0.9
400	None	None	1.0	1.0	1.0	1.0	1.0	1.0	0.906	1.0	0.811	0.914	0.826	0.906	0.924	1.0	0.848	0.929	0.858	0.924
600	None	0.25	1.0	1.0	1.0	1.0	1.0	1.0	0.906	1.0	0.811	0.914	0.826	0.906	0.91	1.0	0.819	0.917	0.833	0.91
600	None	0.5	1.0	1.0	1.0	1.0	1.0	1.0	0.901	1.0	0.802	0.91	0.818	0.901	0.9	1.0	0.8	0.909	0.816	0.9
600	None	0.75	1.0	1.0	1.0	1.0	1.0	1.0	0.9	1.0	0.8	0.909	0.816	0.9	0.9	1.0	0.8	0.909	0.816	0.9
600	None	None	1.0	1.0	1.0	1.0	1.0	1.0	0.901	1.0	0.802	0.91	0.818	0.901	0.9	1.0	0.8	0.909	0.816	0.9
800	None	0.25	1.0	1.0	1.0	1.0	1.0	1.0	0.907	1.0	0.813	0.915	0.828	0.907	0.9	1.0	0.8	0.909	0.816	0.9
800	None	0.5	1.0	1.0	1.0	1.0	1.0	1.0	0.901	1.0	0.802	0.91	0.818	0.901	0.9	1.0	0.8	0.909	0.816	0.9
800	None	0.75	1.0	1.0	1.0	1.0	1.0	1.0	0.9	1.0	0.8	0.909	0.816	0.9	0.9	1.0	0.8	0.909	0.816	0.9
800	None	None	1.0	1.0	1.0	1.0	1.0	1.0	0.901	1.0	0.802	0.91	0.818	0.901	0.9	1.0	0.8	0.909	0.816	0.9
1000	None	0.25	1.0	1.0	1.0	1.0	1.0	1.0	0.908	1.0	0.815	0.915	0.83	0.908	0.9	1.0	0.8	0.909	0.816	0.9
1000	None	0.5	1.0	1.0	1.0	1.0	1.0	1.0	0.902	1.0	0.804	0.911	0.82	0.902	0.9	1.0	0.8	0.909	0.816	0.9
1000	None	0.75	1.0	1.0	1.0	1.0	1.0	1.0	0.9	1.0	0.8	0.909	0.816	0.9	0.9	1.0	0.8	0.909	0.816	0.9
1000	None	None	1.0	1.0	1.0	1.0	1.0	1.0	0.9	1.0	0.8	0.909	0.816	0.9	0.9	1.0	0.8	0.909	0.816	0.9
