n_estimators	max_depth	max_features	Accuracy	Sensitivity	Specificity	F1-score	MCC	BA	Accuracy_bcv	Sensitivity_bcv	Specificity_bcv	F1-score_bcv	MCC_bcv	BA_bcv	Accuracy_blind	Sensitivity_blind	Specificity_blind	F1-score_blind	MCC_blind	BA_blind
200	None	0.25	1.0	1.0	1.0	1.0	1.0	1.0	0.926	1.0	0.851	0.931	0.861	0.926	0.9	1.0	0.8	0.909	0.816	0.9
200	None	0.5	1.0	1.0	1.0	1.0	1.0	1.0	0.906	1.0	0.811	0.914	0.826	0.906	0.9	1.0	0.8	0.909	0.816	0.9
200	None	0.75	1.0	1.0	1.0	1.0	1.0	1.0	0.903	1.0	0.806	0.911	0.821	0.903	0.929	1.0	0.857	0.933	0.866	0.929
200	None	None	1.0	1.0	1.0	1.0	1.0	1.0	0.9	1.0	0.8	0.909	0.816	0.9	0.933	1.0	0.867	0.938	0.874	0.933
400	None	0.25	1.0	1.0	1.0	1.0	1.0	1.0	0.91	1.0	0.821	0.918	0.835	0.91	0.924	1.0	0.848	0.929	0.858	0.924
400	None	0.5	1.0	1.0	1.0	1.0	1.0	1.0	0.9	1.0	0.8	0.909	0.816	0.9	0.9	1.0	0.8	0.909	0.816	0.9
400	None	0.75	1.0	1.0	1.0	1.0	1.0	1.0	0.9	1.0	0.8	0.909	0.816	0.9	0.9	1.0	0.8	0.909	0.816	0.9
400	None	None	1.0	1.0	1.0	1.0	1.0	1.0	0.897	1.0	0.794	0.907	0.812	0.897	0.9	1.0	0.8	0.909	0.816	0.9
600	None	0.25	1.0	1.0	1.0	1.0	1.0	1.0	0.912	1.0	0.825	0.92	0.838	0.912	0.933	1.0	0.867	0.938	0.874	0.933
600	None	0.5	1.0	1.0	1.0	1.0	1.0	1.0	0.901	1.0	0.802	0.91	0.818	0.901	0.933	1.0	0.867	0.938	0.874	0.933
600	None	0.75	1.0	1.0	1.0	1.0	1.0	1.0	0.9	1.0	0.8	0.909	0.816	0.9	0.9	1.0	0.8	0.909	0.816	0.9
600	None	None	1.0	1.0	1.0	1.0	1.0	1.0	0.896	1.0	0.792	0.906	0.81	0.896	0.9	1.0	0.8	0.909	0.816	0.9
800	None	0.25	1.0	1.0	1.0	1.0	1.0	1.0	0.91	1.0	0.821	0.918	0.835	0.91	0.933	1.0	0.867	0.938	0.874	0.933
800	None	0.5	1.0	1.0	1.0	1.0	1.0	1.0	0.9	1.0	0.8	0.909	0.816	0.9	0.933	1.0	0.867	0.938	0.874	0.933
800	None	0.75	1.0	1.0	1.0	1.0	1.0	1.0	0.9	1.0	0.8	0.909	0.816	0.9	0.9	1.0	0.8	0.909	0.816	0.9
800	None	None	1.0	1.0	1.0	1.0	1.0	1.0	0.895	1.0	0.79	0.905	0.809	0.895	0.9	1.0	0.8	0.909	0.816	0.9
1000	None	0.25	1.0	1.0	1.0	1.0	1.0	1.0	0.912	1.0	0.825	0.92	0.838	0.912	0.933	1.0	0.867	0.938	0.874	0.933
1000	None	0.5	1.0	1.0	1.0	1.0	1.0	1.0	0.9	1.0	0.8	0.909	0.816	0.9	0.905	1.0	0.81	0.913	0.825	0.905
1000	None	0.75	1.0	1.0	1.0	1.0	1.0	1.0	0.9	1.0	0.8	0.909	0.816	0.9	0.9	1.0	0.8	0.909	0.816	0.9
1000	None	None	1.0	1.0	1.0	1.0	1.0	1.0	0.898	1.0	0.796	0.908	0.813	0.898	0.9	1.0	0.8	0.909	0.816	0.9
