Kernel	C	degree	gamma	coef0	Min_Dec_Score	Max_Dec_Score	Threshold	Accuracy	Sensitivity	Specificity	F1-score	MCC	BA	Accuracy_bcv	Sensitivity_bcv	Specificity_bcv	F1-score_bcv	MCC_bcv	BA_bcv	Accuracy_blind	Sensitivity_blind	Specificity_blind	F1-score_blind	MCC_blind	BA_blind
poly	1	2	0.1	0	-3.0	3.4	0.1	0.982	0.981	0.983	0.982	0.965	0.982	0.97	0.979	0.962	0.971	0.941	0.97	0.981	0.99	0.971	0.981	0.962	0.981
poly	1	2	0.1	1	-2.7	2.2	0.1	0.987	0.983	0.99	0.987	0.973	0.987	0.975	0.979	0.971	0.975	0.951	0.975	0.981	0.99	0.971	0.981	0.962	0.981
poly	1	2	0.1	2	-2.5	2.0	-0.1	0.99	0.994	0.986	0.99	0.979	0.99	0.941	0.989	0.893	0.944	0.886	0.941	0.957	0.99	0.924	0.959	0.916	0.957
poly	1	2	0.1	3	-2.4	1.9	0.0	0.992	0.992	0.992	0.992	0.984	0.992	0.953	0.983	0.924	0.955	0.908	0.953	0.971	0.99	0.952	0.972	0.944	0.971
poly	1	2	0.01	0	-3.0	3.4	0.1	0.982	0.981	0.983	0.982	0.965	0.982	0.97	0.979	0.962	0.971	0.941	0.97	0.981	0.99	0.971	0.981	0.962	0.981
poly	1	2	0.01	1	-2.1	1.8	0.1	0.993	0.994	0.992	0.993	0.986	0.993	0.941	0.99	0.891	0.944	0.886	0.941	0.948	0.99	0.905	0.95	0.899	0.948
poly	1	2	0.01	2	-2.1	1.6	0.1	0.995	0.998	0.992	0.995	0.99	0.995	0.93	0.992	0.867	0.934	0.866	0.93	0.929	0.99	0.867	0.933	0.864	0.929
poly	1	2	0.01	3	-2.3	1.5	0.1	0.996	0.998	0.994	0.996	0.992	0.996	0.918	0.996	0.84	0.924	0.847	0.918	0.924	1.0	0.848	0.929	0.858	0.924
poly	1	2	0.001	0	-2.3	2.9	-0.2	0.96	0.944	0.975	0.959	0.92	0.96	0.867	0.846	0.888	0.864	0.734	0.867	0.881	0.857	0.905	0.878	0.763	0.881
poly	1	2	0.001	1	-2.8	1.8	0.1	0.992	0.99	0.994	0.992	0.984	0.992	0.833	0.895	0.771	0.843	0.672	0.833	0.848	0.905	0.79	0.856	0.7	0.848
