Kernel	C	gamma	Min_Dec_Score	Max_Dec_Score	Threshold	Accuracy	Sensitivity	Specificity	F1-score	MCC	BA	Accuracy_bcv	Sensitivity_bcv	Specificity_bcv	F1-score_bcv	MCC_bcv	BA_bcv	Accuracy_blind	Sensitivity_blind	Specificity_blind	F1-score_blind	MCC_blind	BA_blind
RBF	1	0.1	-0.1	1.0	0.0	0.616	0.232	1.0	0.376	0.362	0.616	0.613	0.227	1.0	0.369	0.357	0.613	0.633	0.267	1.0	0.421	0.392	0.633
RBF	1	0.01	-0.4	1.2	-0.1	0.817	0.634	1.0	0.775	0.681	0.817	0.837	0.674	1.0	0.805	0.713	0.837	0.876	0.752	1.0	0.859	0.777	0.876
RBF	1	0.001	-1.4	1.4	-0.1	0.958	0.928	0.988	0.956	0.917	0.958	0.87	0.878	0.861	0.87	0.74	0.87	0.9	0.924	0.876	0.902	0.801	0.9
RBF	1	0.0001	-2.0	1.3	0.0	0.913	0.862	0.965	0.908	0.831	0.913	0.786	0.829	0.743	0.795	0.574	0.786	0.8	0.848	0.752	0.809	0.603	0.8
RBF	1	1e-05	-1.0	1.0	-0.0	0.719	0.621	0.816	0.69	0.456	0.719	0.712	0.682	0.743	0.703	0.429	0.712	0.71	0.724	0.695	0.714	0.419	0.71
RBF	5	0.1	-0.0	1.0	-0.0	0.626	0.253	1.0	0.403	0.38	0.626	0.628	0.255	1.0	0.407	0.382	0.628	0.638	0.276	1.0	0.433	0.4	0.638
RBF	5	0.01	-0.4	1.2	-0.1	0.84	0.679	1.0	0.808	0.717	0.84	0.857	0.714	1.0	0.833	0.745	0.857	0.89	0.781	1.0	0.877	0.8	0.89
RBF	5	0.001	-1.4	1.4	-0.1	0.963	0.942	0.983	0.962	0.927	0.963	0.898	0.943	0.853	0.902	0.8	0.898	0.914	0.952	0.876	0.917	0.831	0.914
RBF	5	0.0001	-2.1	1.8	0.0	0.984	0.981	0.988	0.984	0.969	0.984	0.831	0.897	0.766	0.842	0.669	0.831	0.829	0.895	0.762	0.839	0.663	0.829
RBF	5	1e-05	-1.8	1.3	0.0	0.86	0.801	0.919	0.851	0.727	0.86	0.777	0.808	0.747	0.784	0.555	0.777	0.781	0.829	0.733	0.791	0.564	0.781
RBF	10	0.1	-0.0	1.0	-0.0	0.626	0.253	1.0	0.403	0.38	0.626	0.628	0.255	1.0	0.407	0.382	0.628	0.638	0.276	1.0	0.433	0.4	0.638
RBF	10	0.01	-0.4	1.2	-0.1	0.84	0.679	1.0	0.808	0.717	0.84	0.857	0.714	1.0	0.833	0.745	0.857	0.89	0.781	1.0	0.877	0.8	0.89
RBF	10	0.001	-1.4	1.4	-0.1	0.963	0.942	0.983	0.962	0.927	0.963	0.898	0.943	0.853	0.902	0.8	0.898	0.914	0.952	0.876	0.917	0.831	0.914
RBF	10	0.0001	-2.1	1.8	0.2	0.988	0.977	0.998	0.987	0.975	0.988	0.863	0.907	0.819	0.868	0.729	0.863	0.857	0.914	0.8	0.865	0.719	0.857
RBF	10	1e-05	-2.0	1.5	0.0	0.92	0.874	0.967	0.916	0.845	0.92	0.784	0.836	0.731	0.795	0.571	0.784	0.786	0.848	0.724	0.798	0.576	0.786
