Kernel	C	gamma	Min_Dec_Score	Max_Dec_Score	Threshold	Accuracy	Sensitivity	Specificity	F1-score	MCC	BA	Accuracy_bcv	Sensitivity_bcv	Specificity_bcv	F1-score_bcv	MCC_bcv	BA_bcv	Accuracy_blind	Sensitivity_blind	Specificity_blind	F1-score_blind	MCC_blind	BA_blind
RBF	1	0.1	-0.1	1.2	-0.1	0.758	0.516	1.0	0.68	0.589	0.758	0.724	0.448	1.0	0.618	0.537	0.724	0.733	0.467	1.0	0.636	0.552	0.733
RBF	1	0.01	-1.1	1.3	-0.2	0.948	0.896	1.0	0.945	0.902	0.948	0.923	0.861	0.985	0.918	0.853	0.923	0.933	0.867	1.0	0.929	0.874	0.933
RBF	1	0.001	-1.9	1.4	0.0	0.983	0.971	0.996	0.983	0.967	0.983	0.827	0.869	0.785	0.834	0.656	0.827	0.833	0.876	0.79	0.84	0.669	0.833
RBF	1	0.0001	-1.8	1.4	-0.2	0.892	0.89	0.894	0.892	0.786	0.892	0.762	0.846	0.678	0.78	0.531	0.762	0.776	0.867	0.686	0.795	0.562	0.776
RBF	1	1e-05	-1.0	1.0	-0.3	0.632	0.831	0.429	0.698	0.302	0.63	0.61	0.83	0.39	0.679	0.26	0.61	0.519	1.0	0.038	0.675	0.139	0.519
RBF	5	0.1	-0.1	1.2	0.0	0.714	0.429	1.0	0.6	0.522	0.714	0.684	0.368	1.0	0.537	0.474	0.684	0.7	0.4	1.0	0.571	0.5	0.7
RBF	5	0.01	-1.1	1.3	-0.1	0.934	0.867	1.0	0.929	0.875	0.934	0.899	0.798	1.0	0.887	0.815	0.899	0.914	0.829	1.0	0.906	0.841	0.914
RBF	5	0.001	-1.9	1.4	-0.1	0.995	1.0	0.99	0.995	0.99	0.995	0.864	0.985	0.743	0.879	0.75	0.864	0.881	0.99	0.771	0.893	0.781	0.881
RBF	5	0.0001	-2.3	2.1	0.2	0.979	0.963	0.996	0.979	0.96	0.979	0.822	0.878	0.766	0.831	0.648	0.822	0.814	0.886	0.743	0.827	0.635	0.814
RBF	5	1e-05	-1.9	1.3	-0.1	0.845	0.772	0.917	0.832	0.698	0.845	0.768	0.787	0.749	0.772	0.536	0.768	0.776	0.79	0.762	0.779	0.553	0.776
RBF	10	0.1	-0.1	1.2	0.0	0.714	0.429	1.0	0.6	0.522	0.714	0.684	0.368	1.0	0.537	0.474	0.684	0.7	0.4	1.0	0.571	0.5	0.7
RBF	10	0.01	-1.1	1.3	-0.1	0.934	0.867	1.0	0.929	0.875	0.934	0.899	0.798	1.0	0.887	0.815	0.899	0.914	0.829	1.0	0.906	0.841	0.914
RBF	10	0.001	-1.9	1.4	-0.1	0.995	1.0	0.99	0.995	0.99	0.995	0.866	0.99	0.741	0.881	0.756	0.866	0.881	0.99	0.771	0.893	0.781	0.881
RBF	10	0.0001	-2.4	2.3	0.1	0.992	0.988	0.996	0.992	0.984	0.992	0.802	0.886	0.718	0.817	0.613	0.802	0.795	0.886	0.705	0.812	0.6	0.795
RBF	10	1e-05	-2.2	1.5	-0.3	0.891	0.938	0.845	0.896	0.787	0.891	0.776	0.888	0.665	0.799	0.567	0.776	0.781	0.886	0.676	0.802	0.575	0.781
