activation	layers	learning_rate	Accuracy	Sensitivity	Specificity	F1-score	MCC	BA	Accuracy_bcv	Sensitivity_bcv	Specificity_bcv	F1-score_bcv	MCC_bcv	BA_bcv	Accuracy_blind	Sensitivity_blind	Specificity_blind	F1-score_blind	MCC_blind	BA_blind
relu	(25,)	0.1	0.768	0.528	0.859	0.553	0.403	0.694	0.548	0.204	0.709	0.219	-0.095	0.456	0.604	0.245	0.771	0.282	0.018	0.508
relu	(25,)	0.01	0.805	0.555	0.899	0.606	0.484	0.727	0.599	0.273	0.75	0.3	0.025	0.512	0.558	0.184	0.733	0.209	-0.09	0.459
relu	(25,)	0.001	0.785	0.511	0.888	0.566	0.43	0.7	0.594	0.216	0.77	0.251	-0.017	0.493	0.604	0.245	0.771	0.282	0.018	0.508
relu	(25,)	0.0001	0.805	0.544	0.903	0.604	0.482	0.723	0.6	0.192	0.79	0.234	-0.019	0.491	0.578	0.163	0.771	0.198	-0.075	0.467
relu	(50,)	0.1	0.802	0.605	0.876	0.625	0.494	0.74	0.569	0.176	0.752	0.203	-0.081	0.464	0.591	0.163	0.79	0.203	-0.054	0.477
relu	(50,)	0.01	0.777	0.555	0.861	0.575	0.427	0.708	0.561	0.265	0.699	0.276	-0.038	0.482	0.591	0.224	0.762	0.259	-0.015	0.493
relu	(50,)	0.001	0.802	0.549	0.896	0.601	0.475	0.723	0.574	0.302	0.701	0.311	0.003	0.501	0.597	0.286	0.743	0.311	0.03	0.514
relu	(50,)	0.0001	0.786	0.527	0.884	0.575	0.437	0.706	0.587	0.318	0.712	0.329	0.032	0.515	0.571	0.286	0.705	0.298	-0.01	0.495
relu	(75,)	0.1	0.786	0.5	0.894	0.561	0.428	0.697	0.612	0.237	0.787	0.277	0.031	0.512	0.597	0.224	0.771	0.262	-0.005	0.498
relu	(75,)	0.01	0.795	0.516	0.901	0.578	0.453	0.709	0.612	0.22	0.794	0.257	0.014	0.507	0.584	0.224	0.752	0.256	-0.025	0.488
relu	(75,)	0.001	0.8	0.527	0.903	0.592	0.47	0.715	0.584	0.208	0.76	0.241	-0.035	0.484	0.597	0.224	0.771	0.262	-0.005	0.498
relu	(75,)	0.0001	0.797	0.527	0.899	0.586	0.46	0.713	0.606	0.233	0.781	0.272	0.015	0.507	0.578	0.184	0.762	0.217	-0.061	0.473
