activation	layers	learning_rate	Accuracy	Sensitivity	Specificity	F1-score	MCC	BA	Accuracy_bcv	Sensitivity_bcv	Specificity_bcv	F1-score_bcv	MCC_bcv	BA_bcv	Accuracy_blind	Sensitivity_blind	Specificity_blind	F1-score_blind	MCC_blind	BA_blind
relu	(25,)	0.1	0.743	0.478	0.843	0.506	0.339	0.66	0.594	0.302	0.73	0.32	0.033	0.516	0.513	0.224	0.648	0.227	-0.129	0.436
relu	(25,)	0.01	0.767	0.479	0.876	0.529	0.387	0.677	0.574	0.265	0.718	0.284	-0.016	0.492	0.591	0.286	0.733	0.308	0.02	0.51
relu	(25,)	0.001	0.789	0.522	0.89	0.577	0.447	0.706	0.603	0.269	0.758	0.301	0.03	0.514	0.63	0.245	0.81	0.296	0.062	0.527
relu	(25,)	0.0001	0.783	0.473	0.901	0.545	0.421	0.687	0.625	0.269	0.79	0.314	0.068	0.53	0.623	0.224	0.81	0.275	0.04	0.517
relu	(50,)	0.1	0.753	0.484	0.855	0.517	0.358	0.669	0.601	0.314	0.735	0.335	0.053	0.525	0.539	0.184	0.705	0.202	-0.119	0.444
relu	(50,)	0.01	0.774	0.539	0.863	0.566	0.416	0.701	0.57	0.265	0.712	0.282	-0.022	0.489	0.591	0.306	0.724	0.323	0.031	0.515
relu	(50,)	0.001	0.785	0.544	0.876	0.579	0.44	0.71	0.579	0.286	0.716	0.301	0.002	0.501	0.597	0.245	0.762	0.279	0.007	0.503
relu	(50,)	0.0001	0.785	0.517	0.886	0.566	0.432	0.701	0.583	0.29	0.72	0.307	0.011	0.505	0.578	0.286	0.714	0.301	0.0	0.5
relu	(75,)	0.1	0.768	0.456	0.886	0.518	0.378	0.671	0.588	0.245	0.749	0.272	-0.008	0.497	0.578	0.286	0.714	0.301	0.0	0.5
relu	(75,)	0.01	0.776	0.517	0.874	0.557	0.413	0.695	0.583	0.298	0.716	0.314	0.018	0.507	0.604	0.286	0.752	0.315	0.04	0.519
relu	(75,)	0.001	0.792	0.56	0.88	0.597	0.462	0.72	0.575	0.265	0.72	0.284	-0.015	0.493	0.571	0.245	0.724	0.267	-0.033	0.484
relu	(75,)	0.0001	0.789	0.539	0.884	0.582	0.45	0.711	0.578	0.278	0.718	0.294	-0.005	0.498	0.591	0.245	0.752	0.276	-0.003	0.499
relu	(100,)	0.1	0.777	0.506	0.88	0.557	0.42	0.693	0.577	0.229	0.739	0.253	-0.036	0.484	0.552	0.327	0.657	0.317	-0.016	0.492
relu	(100,)	0.01	0.77	0.528	0.861	0.558	0.405	0.694	0.586	0.29	0.724	0.307	0.014	0.507	0.565	0.347	0.667	0.337	0.013	0.507
relu	(100,)	0.001	0.786	0.55	0.876	0.585	0.446	0.713	0.568	0.302	0.691	0.308	-0.006	0.497	0.591	0.306	0.724	0.323	0.031	0.515
relu	(100,)	0.0001	0.78	0.517	0.88	0.562	0.425	0.699	0.584	0.31	0.712	0.322	0.024	0.511	0.591	0.306	0.724	0.323	0.031	0.515
relu	(125,)	0.1	0.749	0.439	0.865	0.489	0.338	0.652	0.564	0.249	0.71	0.266	-0.04	0.48	0.558	0.204	0.724	0.227	-0.077	0.464
relu	(125,)	0.01	0.768	0.473	0.88	0.529	0.384	0.676	0.588	0.318	0.714	0.329	0.034	0.516	0.571	0.327	0.686	0.327	0.012	0.506
relu	(125,)	0.001	0.785	0.55	0.874	0.582	0.442	0.712	0.556	0.294	0.678	0.296	-0.028	0.486	0.552	0.286	0.676	0.289	-0.038	0.481
relu	(125,)	0.0001	0.776	0.517	0.874	0.557	0.413	0.695	0.565	0.302	0.688	0.306	-0.01	0.495	0.558	0.286	0.686	0.292	-0.029	0.486
relu	(150,)	0.1	0.765	0.495	0.868	0.533	0.384	0.681	0.56	0.196	0.73	0.222	-0.078	0.463	0.578	0.184	0.762	0.217	-0.061	0.473
relu	(150,)	0.01	0.765	0.489	0.87	0.532	0.382	0.679	0.587	0.249	0.745	0.277	-0.007	0.497	0.584	0.265	0.733	0.289	-0.001	0.499
relu	(150,)	0.001	0.785	0.555	0.872	0.585	0.445	0.713	0.575	0.261	0.722	0.281	-0.017	0.492	0.591	0.265	0.743	0.292	0.009	0.504
relu	(150,)	0.0001	0.794	0.544	0.888	0.592	0.46	0.716	0.594	0.269	0.745	0.296	0.015	0.507	0.584	0.265	0.733	0.289	-0.001	0.499
relu	(175,)	0.1	0.746	0.456	0.855	0.496	0.335	0.656	0.558	0.269	0.693	0.28	-0.037	0.481	0.578	0.286	0.714	0.301	0.0	0.5
relu	(175,)	0.01	0.762	0.495	0.863	0.529	0.378	0.679	0.574	0.269	0.716	0.288	-0.013	0.493	0.617	0.347	0.743	0.366	0.093	0.545
relu	(175,)	0.001	0.789	0.544	0.882	0.587	0.453	0.713	0.586	0.29	0.724	0.308	0.014	0.507	0.604	0.306	0.743	0.33	0.051	0.524
relu	(175,)	0.0001	0.788	0.55	0.878	0.588	0.451	0.714	0.582	0.294	0.716	0.308	0.01	0.505	0.578	0.265	0.724	0.286	-0.011	0.495
relu	(200,)	0.1	0.768	0.451	0.888	0.516	0.383	0.67	0.586	0.204	0.764	0.236	-0.037	0.484	0.558	0.224	0.714	0.244	-0.065	0.469
relu	(200,)	0.01	0.777	0.506	0.88	0.555	0.414	0.693	0.588	0.257	0.743	0.284	-0.0	0.5	0.597	0.245	0.762	0.279	0.007	0.503
relu	(200,)	0.001	0.791	0.539	0.886	0.586	0.455	0.712	0.592	0.286	0.735	0.309	0.022	0.51	0.617	0.286	0.771	0.322	0.062	0.529
relu	(200,)	0.0001	0.797	0.561	0.886	0.602	0.472	0.723	0.595	0.265	0.749	0.295	0.016	0.507	0.597	0.286	0.743	0.311	0.03	0.514
relu	(225,)	0.1	0.762	0.468	0.874	0.514	0.368	0.671	0.566	0.233	0.722	0.249	-0.052	0.477	0.61	0.224	0.79	0.268	0.017	0.507
relu	(225,)	0.01	0.774	0.501	0.878	0.549	0.408	0.689	0.575	0.278	0.714	0.295	-0.006	0.496	0.584	0.265	0.733	0.289	-0.001	0.499
relu	(225,)	0.001	0.788	0.539	0.882	0.582	0.448	0.71	0.587	0.306	0.718	0.32	0.025	0.512	0.591	0.286	0.733	0.308	0.02	0.51
relu	(225,)	0.0001	0.786	0.517	0.888	0.57	0.439	0.702	0.594	0.306	0.728	0.324	0.035	0.517	0.597	0.265	0.752	0.295	0.019	0.509
relu	(250,)	0.1	0.773	0.478	0.884	0.529	0.392	0.681	0.575	0.212	0.745	0.241	-0.046	0.479	0.61	0.367	0.724	0.375	0.092	0.546
relu	(250,)	0.01	0.759	0.506	0.855	0.536	0.381	0.68	0.588	0.286	0.73	0.305	0.015	0.508	0.617	0.306	0.762	0.337	0.072	0.534
relu	(250,)	0.001	0.773	0.517	0.87	0.554	0.407	0.693	0.59	0.286	0.731	0.307	0.018	0.509	0.61	0.286	0.762	0.318	0.051	0.524
relu	(250,)	0.0001	0.776	0.517	0.874	0.558	0.414	0.695	0.591	0.298	0.728	0.317	0.027	0.513	0.604	0.306	0.743	0.33	0.051	0.524
relu	(275,)	0.1	0.741	0.472	0.843	0.495	0.326	0.657	0.574	0.216	0.741	0.242	-0.046	0.479	0.565	0.224	0.724	0.247	-0.055	0.474
relu	(275,)	0.01	0.746	0.495	0.841	0.515	0.346	0.668	0.573	0.31	0.695	0.316	0.006	0.503	0.636	0.367	0.762	0.391	0.134	0.565
relu	(275,)	0.001	0.783	0.533	0.878	0.574	0.437	0.706	0.582	0.282	0.722	0.3	0.004	0.502	0.584	0.245	0.743	0.273	-0.013	0.494
relu	(275,)	0.0001	0.782	0.528	0.878	0.571	0.434	0.703	0.594	0.29	0.735	0.312	0.026	0.513	0.597	0.286	0.743	0.311	0.03	0.514
relu	(300,)	0.1	0.755	0.456	0.868	0.502	0.349	0.662	0.57	0.261	0.714	0.279	-0.025	0.488	0.604	0.367	0.714	0.371	0.082	0.541
relu	(300,)	0.01	0.764	0.489	0.868	0.532	0.381	0.678	0.578	0.269	0.722	0.289	-0.009	0.496	0.578	0.265	0.724	0.286	-0.011	0.495
relu	(300,)	0.001	0.788	0.533	0.884	0.579	0.443	0.709	0.59	0.278	0.735	0.301	0.014	0.506	0.623	0.286	0.781	0.326	0.073	0.533
relu	(300,)	0.0001	0.789	0.533	0.886	0.579	0.447	0.71	0.603	0.261	0.762	0.296	0.026	0.512	0.597	0.265	0.752	0.295	0.019	0.509
relu	(25,5)	0.1	0.726	0.0	1.0	0.0	0.0	0.5	0.681	0.008	0.994	0.016	0.01	0.501	0.675	0.061	0.962	0.107	0.052	0.512
relu	(25,5)	0.01	0.777	0.528	0.872	0.567	0.423	0.7	0.558	0.261	0.697	0.274	-0.042	0.479	0.578	0.286	0.714	0.301	0.0	0.5
relu	(25,5)	0.001	0.755	0.533	0.839	0.541	0.377	0.686	0.549	0.273	0.678	0.278	-0.049	0.476	0.604	0.306	0.743	0.33	0.051	0.524
relu	(25,5)	0.0001	0.771	0.561	0.851	0.571	0.419	0.706	0.558	0.269	0.693	0.279	-0.038	0.481	0.604	0.286	0.752	0.315	0.04	0.519
relu	(50,10)	0.1	0.726	0.0	1.0	0.0	0.0	0.5	0.682	0.0	1.0	0.0	0.0	0.5	0.682	0.0	1.0	0.0	0.0	0.5
relu	(50,10)	0.01	0.755	0.512	0.847	0.531	0.369	0.679	0.56	0.212	0.722	0.232	-0.071	0.467	0.558	0.204	0.724	0.227	-0.077	0.464
relu	(50,10)	0.001	0.774	0.533	0.866	0.565	0.416	0.699	0.571	0.294	0.701	0.304	-0.005	0.497	0.565	0.245	0.714	0.264	-0.043	0.48
relu	(50,10)	0.0001	0.762	0.501	0.861	0.534	0.381	0.681	0.56	0.318	0.672	0.316	-0.009	0.495	0.552	0.265	0.686	0.274	-0.05	0.476
relu	(75,15)	0.1	0.726	0.0	1.0	0.0	0.0	0.5	0.682	0.0	1.0	0.0	0.0	0.5	0.682	0.0	1.0	0.0	0.0	0.5
relu	(75,15)	0.01	0.774	0.468	0.89	0.531	0.396	0.679	0.601	0.237	0.771	0.274	0.01	0.504	0.552	0.184	0.724	0.207	-0.1	0.454
relu	(75,15)	0.001	0.78	0.5	0.886	0.556	0.418	0.693	0.579	0.241	0.737	0.267	-0.023	0.489	0.591	0.245	0.752	0.276	-0.003	0.499
