n_estimators	max_depth	max_features	Accuracy	Sensitivity	Specificity	F1-score	MCC	BA	Accuracy_bcv	Sensitivity_bcv	Specificity_bcv	F1-score_bcv	MCC_bcv	BA_bcv	Accuracy_blind	Sensitivity_blind	Specificity_blind	F1-score_blind	MCC_blind	BA_blind
200	None	0.25	0.744	0.099	0.988	0.174	0.206	0.543	0.683	0.016	0.994	0.032	0.051	0.505	0.675	0.0	0.99	0.0	-0.055	0.495
200	None	0.5	0.741	0.083	0.99	0.145	0.186	0.536	0.678	0.008	0.99	0.016	-0.009	0.499	0.682	0.02	0.99	0.039	0.045	0.505
200	None	0.75	0.747	0.105	0.99	0.183	0.221	0.547	0.679	0.012	0.99	0.023	0.008	0.501	0.682	0.02	0.99	0.039	0.045	0.505
200	None	None	0.738	0.088	0.983	0.153	0.166	0.536	0.682	0.012	0.994	0.024	0.031	0.503	0.682	0.02	0.99	0.039	0.045	0.505
400	None	0.25	0.738	0.071	0.99	0.13	0.17	0.531	0.679	0.012	0.99	0.024	0.011	0.501	0.682	0.02	0.99	0.039	0.045	0.505
400	None	0.5	0.74	0.083	0.988	0.145	0.172	0.535	0.681	0.008	0.994	0.016	0.007	0.501	0.682	0.02	0.99	0.039	0.045	0.505
400	None	0.75	0.747	0.105	0.99	0.182	0.217	0.547	0.681	0.012	0.992	0.024	0.016	0.502	0.682	0.02	0.99	0.039	0.045	0.505
400	None	None	0.744	0.105	0.986	0.179	0.201	0.545	0.682	0.012	0.994	0.024	0.031	0.503	0.682	0.02	0.99	0.039	0.045	0.505
600	None	0.25	0.738	0.077	0.988	0.138	0.167	0.532	0.679	0.008	0.992	0.016	-0.004	0.5	0.675	0.0	0.99	0.0	-0.055	0.495
600	None	0.5	0.74	0.088	0.986	0.155	0.176	0.537	0.681	0.012	0.992	0.024	0.016	0.502	0.682	0.02	0.99	0.039	0.045	0.505
600	None	0.75	0.747	0.11	0.988	0.19	0.222	0.549	0.681	0.012	0.992	0.024	0.016	0.502	0.682	0.02	0.99	0.039	0.045	0.505
600	None	None	0.741	0.088	0.988	0.155	0.184	0.538	0.679	0.012	0.99	0.024	0.011	0.501	0.682	0.02	0.99	0.039	0.045	0.505
800	None	0.25	0.74	0.077	0.99	0.139	0.179	0.533	0.681	0.012	0.992	0.024	0.016	0.502	0.682	0.02	0.99	0.039	0.045	0.505
800	None	0.5	0.743	0.088	0.99	0.156	0.192	0.539	0.678	0.008	0.99	0.016	-0.009	0.499	0.682	0.02	0.99	0.039	0.045	0.505
800	None	0.75	0.741	0.088	0.988	0.156	0.187	0.538	0.681	0.012	0.992	0.024	0.016	0.502	0.682	0.02	0.99	0.039	0.045	0.505
800	None	None	0.743	0.093	0.988	0.164	0.195	0.54	0.679	0.012	0.99	0.024	0.011	0.501	0.682	0.02	0.99	0.039	0.045	0.505
1000	None	0.25	0.743	0.088	0.99	0.156	0.196	0.539	0.679	0.008	0.992	0.016	-0.004	0.5	0.682	0.02	0.99	0.039	0.045	0.505
1000	None	0.5	0.741	0.082	0.99	0.147	0.182	0.536	0.679	0.008	0.992	0.016	-0.004	0.5	0.682	0.02	0.99	0.039	0.045	0.505
1000	None	0.75	0.741	0.088	0.988	0.156	0.187	0.538	0.681	0.012	0.992	0.024	0.016	0.502	0.682	0.02	0.99	0.039	0.045	0.505
1000	None	None	0.743	0.099	0.986	0.172	0.194	0.542	0.679	0.012	0.99	0.024	0.011	0.501	0.682	0.02	0.99	0.039	0.045	0.505
