n_estimators	max_depth	max_features	Accuracy	Sensitivity	Specificity	F1-score	MCC	BA	Accuracy_bcv	Sensitivity_bcv	Specificity_bcv	F1-score_bcv	MCC_bcv	BA_bcv	Accuracy_blind	Sensitivity_blind	Specificity_blind	F1-score_blind	MCC_blind	BA_blind
200	None	0.25	0.75	0.11	0.992	0.193	0.247	0.551	0.681	0.0	0.998	0.0	-0.011	0.499	0.675	0.0	0.99	0.0	-0.055	0.495
200	None	0.5	0.753	0.121	0.992	0.21	0.258	0.557	0.678	0.004	0.992	0.008	-0.018	0.498	0.675	0.0	0.99	0.0	-0.055	0.495
200	None	0.75	0.749	0.116	0.988	0.2	0.237	0.552	0.684	0.008	1.0	0.016	0.047	0.504	0.675	0.0	0.99	0.0	-0.055	0.495
200	None	None	0.752	0.132	0.986	0.223	0.252	0.559	0.683	0.008	0.998	0.016	0.023	0.503	0.682	0.0	1.0	0.0	0.0	0.5
400	None	0.25	0.743	0.083	0.992	0.149	0.205	0.537	0.682	0.0	1.0	0.0	0.0	0.5	0.682	0.0	1.0	0.0	0.0	0.5
400	None	0.5	0.752	0.115	0.992	0.202	0.25	0.554	0.682	0.004	0.998	0.008	0.013	0.501	0.675	0.0	0.99	0.0	-0.055	0.495
400	None	0.75	0.749	0.115	0.988	0.2	0.24	0.552	0.681	0.008	0.994	0.016	0.014	0.501	0.675	0.0	0.99	0.0	-0.055	0.495
400	None	None	0.75	0.116	0.99	0.201	0.245	0.553	0.683	0.008	0.998	0.016	0.023	0.503	0.675	0.0	0.99	0.0	-0.055	0.495
600	None	0.25	0.746	0.094	0.992	0.167	0.222	0.543	0.682	0.0	1.0	0.0	0.0	0.5	0.682	0.0	1.0	0.0	0.0	0.5
600	None	0.5	0.747	0.11	0.988	0.192	0.226	0.549	0.681	0.004	0.996	0.008	-0.002	0.5	0.682	0.0	1.0	0.0	0.0	0.5
600	None	0.75	0.749	0.116	0.988	0.2	0.234	0.552	0.682	0.004	0.998	0.008	0.013	0.501	0.682	0.0	1.0	0.0	0.0	0.5
600	None	None	0.747	0.116	0.986	0.199	0.226	0.551	0.682	0.004	0.998	0.008	0.013	0.501	0.682	0.0	1.0	0.0	0.0	0.5
800	None	0.25	0.75	0.105	0.994	0.186	0.249	0.549	0.682	0.0	1.0	0.0	0.0	0.5	0.682	0.0	1.0	0.0	0.0	0.5
800	None	0.5	0.749	0.11	0.99	0.193	0.235	0.55	0.682	0.0	1.0	0.0	0.0	0.5	0.682	0.0	1.0	0.0	0.0	0.5
800	None	0.75	0.752	0.127	0.988	0.217	0.248	0.557	0.682	0.004	0.998	0.008	0.013	0.501	0.682	0.0	1.0	0.0	0.0	0.5
800	None	None	0.747	0.116	0.986	0.199	0.226	0.551	0.679	0.0	0.996	0.0	-0.022	0.498	0.682	0.0	1.0	0.0	0.0	0.5
1000	None	0.25	0.749	0.099	0.994	0.177	0.242	0.546	0.682	0.0	1.0	0.0	0.0	0.5	0.682	0.0	1.0	0.0	0.0	0.5
1000	None	0.5	0.749	0.11	0.99	0.193	0.235	0.55	0.681	0.0	0.998	0.0	-0.011	0.499	0.682	0.0	1.0	0.0	0.0	0.5
1000	None	0.75	0.752	0.121	0.99	0.21	0.25	0.555	0.681	0.0	0.998	0.0	-0.011	0.499	0.682	0.0	1.0	0.0	0.0	0.5
1000	None	None	0.749	0.116	0.988	0.2	0.234	0.552	0.679	0.0	0.996	0.0	-0.022	0.498	0.682	0.0	1.0	0.0	0.0	0.5
