Kernel	C	degree	gamma	coef0	Min_Dec_Score	Max_Dec_Score	Threshold	Accuracy	Sensitivity	Specificity	F1-score	MCC	BA	Accuracy_bcv	Sensitivity_bcv	Specificity_bcv	F1-score_bcv	MCC_bcv	BA_bcv	Accuracy_blind	Sensitivity_blind	Specificity_blind	F1-score_blind	MCC_blind	BA_blind
poly	1	2	0.1	0	-3.4	1.3	-0.1	0.806	0.577	0.892	0.618	0.493	0.735	0.508	0.188	0.657	0.194	-0.159	0.422	0.487	0.184	0.629	0.186	-0.189	0.406
poly	1	2	0.1	1	-3.4	1.3	-0.1	0.812	0.588	0.897	0.631	0.509	0.742	0.519	0.204	0.667	0.213	-0.131	0.435	0.5	0.204	0.638	0.206	-0.159	0.421
poly	1	2	0.1	2	-3.4	1.3	-0.1	0.811	0.577	0.899	0.624	0.503	0.738	0.517	0.208	0.661	0.215	-0.133	0.435	0.494	0.204	0.629	0.204	-0.167	0.416
poly	1	2	0.1	3	-3.3	1.3	-0.1	0.811	0.577	0.899	0.623	0.502	0.738	0.517	0.204	0.663	0.212	-0.135	0.433	0.494	0.204	0.629	0.204	-0.167	0.416
poly	1	2	0.01	0	-3.4	1.3	-0.1	0.806	0.577	0.892	0.618	0.493	0.735	0.508	0.188	0.657	0.194	-0.159	0.422	0.487	0.184	0.629	0.186	-0.189	0.406
poly	1	2	0.01	1	-2.8	1.3	0.1	0.817	0.445	0.957	0.569	0.499	0.701	0.568	0.09	0.79	0.116	-0.148	0.44	0.545	0.102	0.752	0.125	-0.169	0.427
poly	1	2	0.01	2	-2.7	1.4	0.1	0.818	0.45	0.957	0.574	0.502	0.704	0.57	0.114	0.783	0.144	-0.124	0.449	0.545	0.122	0.743	0.146	-0.153	0.433
poly	1	2	0.01	3	-2.8	1.5	0.2	0.814	0.406	0.967	0.543	0.49	0.687	0.591	0.094	0.823	0.128	-0.107	0.458	0.532	0.041	0.762	0.053	-0.242	0.401
poly	1	2	0.001	0	-2.1	1.6	-0.1	0.797	0.615	0.865	0.621	0.485	0.74	0.514	0.22	0.651	0.223	-0.13	0.436	0.494	0.204	0.629	0.204	-0.167	0.416
poly	1	2	0.001	1	-3.1	1.4	-0.1	0.777	0.582	0.851	0.591	0.44	0.717	0.562	0.335	0.669	0.327	0.003	0.502	0.532	0.286	0.648	0.28	-0.066	0.467
