Kernel	C	degree	gamma	coef0	Min_Dec_Score	Max_Dec_Score	Threshold	Accuracy	Sensitivity	Specificity	F1-score	MCC	BA	Accuracy_bcv	Sensitivity_bcv	Specificity_bcv	F1-score_bcv	MCC_bcv	BA_bcv	Accuracy_blind	Sensitivity_blind	Specificity_blind	F1-score_blind	MCC_blind	BA_blind
poly	1	2	0.1	0	-7.6	9.9	-0.1	0.738	0.583	0.797	0.55	0.369	0.69	0.521	0.273	0.636	0.266	-0.089	0.455	0.494	0.245	0.61	0.235	-0.143	0.427
poly	1	2	0.1	1	-8.5	6.8	0.2	0.771	0.451	0.892	0.519	0.382	0.672	0.573	0.18	0.756	0.211	-0.072	0.468	0.565	0.184	0.743	0.212	-0.081	0.463
poly	1	2	0.1	2	-8.5	6.2	-0.1	0.746	0.578	0.809	0.553	0.378	0.694	0.514	0.261	0.632	0.255	-0.105	0.447	0.506	0.265	0.619	0.255	-0.113	0.442
poly	1	2	0.1	3	-8.3	6.1	-0.0	0.755	0.528	0.841	0.54	0.375	0.684	0.536	0.241	0.674	0.248	-0.086	0.458	0.545	0.224	0.695	0.239	-0.083	0.46
poly	1	2	0.01	0	-6.1	9.8	-0.1	0.75	0.589	0.812	0.564	0.391	0.7	0.523	0.273	0.64	0.266	-0.086	0.457	0.513	0.265	0.629	0.257	-0.105	0.447
poly	1	2	0.01	1	-7.3	6.7	0.1	0.765	0.501	0.865	0.538	0.386	0.683	0.569	0.237	0.724	0.258	-0.041	0.48	0.578	0.224	0.743	0.253	-0.035	0.484
poly	1	2	0.01	2	-6.8	7.6	0.1	0.771	0.506	0.872	0.548	0.401	0.689	0.575	0.269	0.718	0.287	-0.013	0.494	0.584	0.265	0.733	0.289	-0.001	0.499
poly	1	2	0.01	3	-6.4	8.3	-0.2	0.74	0.627	0.783	0.57	0.391	0.705	0.543	0.388	0.615	0.351	0.003	0.501	0.526	0.367	0.6	0.33	-0.031	0.484
poly	1	2	0.001	0	-2.8	2.6	-0.1	0.75	0.209	0.955	0.305	0.283	0.582	0.644	0.114	0.891	0.158	0.008	0.503	0.656	0.082	0.924	0.131	0.009	0.503
poly	1	2	0.001	1	-2.9	2.1	-0.1	0.692	0.638	0.712	0.529	0.325	0.675	0.542	0.408	0.604	0.361	0.011	0.506	0.539	0.367	0.619	0.336	-0.013	0.493
poly	1	2	0.001	2	-3.0	2.3	-0.2	0.686	0.693	0.683	0.546	0.343	0.688	0.544	0.506	0.562	0.413	0.064	0.534	0.519	0.469	0.543	0.383	0.011	0.506
poly	1	2	0.001	3	-3.8	3.1	-0.3	0.668	0.742	0.64	0.549	0.343	0.691	0.518	0.555	0.501	0.423	0.052	0.528	0.506	0.531	0.495	0.406	0.024	0.513
poly	1	3	0.1	0	-71.6	9.1	-0.2	0.759	0.599	0.82	0.577	0.41	0.71	0.519	0.229	0.655	0.232	-0.118	0.442	0.506	0.224	0.638	0.224	-0.137	0.431
poly	1	3	0.1	1	-57.3	7.3	-0.2	0.762	0.616	0.818	0.586	0.421	0.717	0.526	0.249	0.655	0.249	-0.097	0.452	0.506	0.204	0.648	0.208	-0.15	0.426
