Kernel	C	gamma	Min_Dec_Score	Max_Dec_Score	Threshold	Accuracy	Sensitivity	Specificity	F1-score	MCC	BA	Accuracy_bcv	Sensitivity_bcv	Specificity_bcv	F1-score_bcv	MCC_bcv	BA_bcv	Accuracy_blind	Sensitivity_blind	Specificity_blind	F1-score_blind	MCC_blind	BA_blind
RBF	1	0.1	-0.5	-0.5	-0.5	0.274	1.0	0.0	0.43	0.0	0.5	0.318	1.0	0.0	0.483	0.0	0.5	0.318	1.0	0.0	0.483	0.0	0.5
RBF	1	0.01	-0.6	0.1	-0.4	0.747	0.077	1.0	0.142	0.236	0.539	0.669	0.004	0.979	0.008	-0.066	0.492	0.662	0.0	0.971	0.0	-0.096	0.486
RBF	1	0.001	-1.5	1.0	0.0	0.764	0.374	0.911	0.463	0.345	0.643	0.625	0.114	0.863	0.162	-0.032	0.489	0.617	0.102	0.857	0.145	-0.057	0.48
RBF	1	0.0001	-1.7	1.3	0.3	0.758	0.357	0.909	0.445	0.33	0.633	0.618	0.224	0.802	0.272	0.03	0.513	0.617	0.224	0.8	0.272	0.028	0.512
RBF	1	1e-05	-1.0	0.3	-0.4	0.741	0.209	0.942	0.306	0.234	0.576	0.648	0.11	0.899	0.165	0.017	0.505	0.584	0.265	0.733	0.289	-0.001	0.499
RBF	5	0.1	-0.5	-0.5	-0.5	0.274	1.0	0.0	0.43	0.0	0.5	0.318	1.0	0.0	0.483	0.0	0.5	0.318	1.0	0.0	0.483	0.0	0.5
RBF	5	0.01	-0.6	0.1	-0.4	0.747	0.077	1.0	0.142	0.236	0.539	0.669	0.004	0.979	0.008	-0.066	0.492	0.662	0.0	0.971	0.0	-0.096	0.486
RBF	5	0.001	-1.6	1.0	-0.3	0.786	0.566	0.87	0.589	0.449	0.718	0.558	0.302	0.678	0.301	-0.021	0.49	0.526	0.265	0.648	0.263	-0.087	0.456
RBF	5	0.0001	-2.4	1.4	0.3	0.777	0.44	0.905	0.517	0.393	0.673	0.617	0.204	0.81	0.252	0.015	0.507	0.63	0.245	0.81	0.296	0.062	0.527
RBF	5	1e-05	-1.4	1.3	0.3	0.744	0.231	0.938	0.33	0.255	0.584	0.671	0.139	0.92	0.21	0.092	0.529	0.669	0.184	0.895	0.261	0.109	0.539
RBF	10	0.1	-0.5	-0.5	-0.5	0.274	1.0	0.0	0.43	0.0	0.5	0.318	1.0	0.0	0.483	0.0	0.5	0.318	1.0	0.0	0.483	0.0	0.5
RBF	10	0.01	-0.6	0.1	-0.4	0.747	0.077	1.0	0.142	0.236	0.539	0.669	0.004	0.979	0.008	-0.066	0.492	0.662	0.0	0.971	0.0	-0.096	0.486
RBF	10	0.001	-1.6	1.0	-0.1	0.803	0.402	0.954	0.523	0.452	0.678	0.627	0.098	0.874	0.143	-0.04	0.486	0.617	0.061	0.876	0.092	-0.096	0.469
RBF	10	0.0001	-2.6	1.8	0.2	0.782	0.489	0.892	0.55	0.418	0.691	0.596	0.237	0.764	0.271	0.001	0.5	0.571	0.224	0.733	0.25	-0.045	0.479
RBF	10	1e-05	-1.8	1.4	0.4	0.761	0.302	0.934	0.408	0.325	0.618	0.674	0.22	0.886	0.3	0.14	0.553	0.649	0.224	0.848	0.289	0.088	0.536
