activation	layers	learning_rate	Accuracy	Sensitivity	Specificity	F1-score	MCC	BA	Accuracy_bcv	Sensitivity_bcv	Specificity_bcv	F1-score_bcv	MCC_bcv	BA_bcv	Accuracy_blind	Sensitivity_blind	Specificity_blind	F1-score_blind	MCC_blind	BA_blind
relu	(25,)	0.1	0.878	0.915	0.841	0.882	0.758	0.878	0.775	0.867	0.684	0.794	0.561	0.775	0.814	0.933	0.695	0.834	0.647	0.814
relu	(25,)	0.01	0.892	0.923	0.861	0.896	0.787	0.892	0.792	0.905	0.68	0.813	0.601	0.792	0.814	0.952	0.676	0.837	0.654	0.814
relu	(25,)	0.001	0.884	0.934	0.834	0.89	0.772	0.884	0.802	0.922	0.682	0.823	0.622	0.802	0.824	0.933	0.714	0.841	0.664	0.824
relu	(25,)	0.0001	0.885	0.934	0.836	0.89	0.774	0.885	0.799	0.91	0.688	0.819	0.614	0.799	0.838	0.924	0.752	0.851	0.686	0.838
relu	(50,)	0.1	0.863	0.907	0.82	0.868	0.732	0.863	0.778	0.853	0.703	0.794	0.566	0.778	0.814	0.895	0.733	0.828	0.637	0.814
relu	(50,)	0.01	0.874	0.917	0.83	0.879	0.751	0.874	0.776	0.89	0.663	0.799	0.569	0.776	0.819	0.905	0.733	0.833	0.648	0.819
relu	(50,)	0.001	0.888	0.946	0.83	0.894	0.782	0.888	0.79	0.924	0.655	0.815	0.601	0.79	0.81	0.952	0.667	0.833	0.646	0.81
relu	(50,)	0.0001	0.893	0.948	0.839	0.899	0.792	0.893	0.785	0.922	0.648	0.811	0.593	0.785	0.814	0.952	0.676	0.837	0.654	0.814
relu	(75,)	0.1	0.864	0.909	0.82	0.87	0.734	0.864	0.758	0.88	0.636	0.784	0.533	0.758	0.819	0.933	0.705	0.838	0.655	0.819
relu	(75,)	0.01	0.885	0.919	0.851	0.889	0.773	0.885	0.786	0.893	0.678	0.807	0.586	0.786	0.819	0.933	0.705	0.838	0.655	0.819
relu	(75,)	0.001	0.894	0.934	0.855	0.899	0.792	0.894	0.808	0.92	0.695	0.827	0.632	0.808	0.833	0.943	0.724	0.85	0.683	0.833
relu	(75,)	0.0001	0.892	0.936	0.849	0.897	0.788	0.892	0.802	0.914	0.69	0.822	0.62	0.802	0.833	0.933	0.733	0.848	0.68	0.833
relu	(100,)	0.1	0.872	0.911	0.832	0.876	0.748	0.872	0.752	0.848	0.657	0.775	0.515	0.752	0.79	0.886	0.695	0.809	0.592	0.79
relu	(100,)	0.01	0.879	0.919	0.839	0.884	0.761	0.879	0.767	0.907	0.627	0.795	0.556	0.767	0.79	0.914	0.667	0.814	0.6	0.79
relu	(100,)	0.001	0.892	0.942	0.843	0.898	0.789	0.892	0.791	0.928	0.655	0.816	0.606	0.791	0.805	0.952	0.657	0.83	0.638	0.805
relu	(100,)	0.0001	0.889	0.944	0.834	0.895	0.784	0.889	0.78	0.924	0.636	0.808	0.585	0.78	0.805	0.952	0.657	0.83	0.638	0.805
relu	(125,)	0.1	0.864	0.919	0.81	0.871	0.735	0.864	0.771	0.869	0.674	0.792	0.554	0.771	0.781	0.905	0.657	0.805	0.58	0.781
relu	(125,)	0.01	0.878	0.925	0.83	0.883	0.76	0.878	0.771	0.888	0.655	0.795	0.558	0.771	0.781	0.905	0.657	0.805	0.58	0.781
relu	(125,)	0.001	0.899	0.944	0.853	0.903	0.801	0.899	0.777	0.926	0.629	0.806	0.581	0.777	0.8	0.933	0.667	0.824	0.623	0.8
relu	(125,)	0.0001	0.89	0.942	0.839	0.896	0.785	0.89	0.764	0.928	0.6	0.797	0.559	0.764	0.776	0.933	0.619	0.807	0.582	0.776
relu	(150,)	0.1	0.881	0.905	0.857	0.884	0.764	0.881	0.772	0.863	0.682	0.791	0.554	0.772	0.838	0.924	0.752	0.851	0.686	0.838
relu	(150,)	0.01	0.891	0.915	0.867	0.894	0.784	0.891	0.779	0.893	0.665	0.802	0.574	0.779	0.862	0.924	0.8	0.87	0.729	0.862
relu	(150,)	0.001	0.894	0.938	0.851	0.899	0.793	0.895	0.811	0.92	0.703	0.83	0.639	0.811	0.848	0.943	0.752	0.861	0.708	0.848
relu	(150,)	0.0001	0.892	0.936	0.849	0.897	0.788	0.892	0.823	0.924	0.722	0.839	0.66	0.823	0.862	0.943	0.781	0.872	0.733	0.862
