activation	layers	learning_rate	Accuracy	Sensitivity	Specificity	F1-score	MCC	BA	Accuracy_bcv	Sensitivity_bcv	Specificity_bcv	F1-score_bcv	MCC_bcv	BA_bcv	Accuracy_blind	Sensitivity_blind	Specificity_blind	F1-score_blind	MCC_blind	BA_blind
relu	(25,)	0.1	0.853	0.903	0.803	0.86	0.71	0.853	0.774	0.89	0.659	0.798	0.565	0.774	0.795	0.924	0.667	0.819	0.611	0.795
relu	(25,)	0.01	0.866	0.911	0.822	0.872	0.736	0.867	0.783	0.899	0.667	0.806	0.582	0.783	0.805	0.924	0.686	0.826	0.628	0.805
relu	(25,)	0.001	0.879	0.928	0.83	0.884	0.762	0.879	0.785	0.918	0.651	0.81	0.591	0.785	0.795	0.914	0.676	0.817	0.608	0.795
relu	(25,)	0.0001	0.88	0.923	0.837	0.885	0.764	0.88	0.787	0.907	0.667	0.81	0.591	0.787	0.829	0.933	0.724	0.845	0.672	0.829
relu	(50,)	0.1	0.87	0.917	0.822	0.876	0.743	0.87	0.778	0.91	0.646	0.804	0.578	0.778	0.79	0.924	0.657	0.815	0.603	0.79
relu	(50,)	0.01	0.861	0.923	0.799	0.869	0.728	0.861	0.764	0.899	0.629	0.792	0.548	0.764	0.781	0.933	0.629	0.81	0.59	0.781
relu	(50,)	0.001	0.883	0.94	0.826	0.889	0.771	0.883	0.764	0.912	0.615	0.794	0.553	0.764	0.805	0.933	0.676	0.827	0.631	0.805
relu	(50,)	0.0001	0.867	0.928	0.808	0.875	0.741	0.868	0.759	0.914	0.604	0.791	0.545	0.759	0.786	0.924	0.648	0.812	0.595	0.786
relu	(75,)	0.1	0.87	0.915	0.824	0.875	0.743	0.87	0.767	0.899	0.634	0.794	0.553	0.767	0.814	0.924	0.705	0.833	0.644	0.814
relu	(75,)	0.01	0.881	0.921	0.841	0.885	0.765	0.881	0.76	0.905	0.615	0.79	0.543	0.76	0.8	0.933	0.667	0.824	0.623	0.8
relu	(75,)	0.001	0.874	0.928	0.82	0.88	0.752	0.874	0.758	0.926	0.59	0.793	0.548	0.758	0.79	0.933	0.648	0.817	0.606	0.79
relu	(75,)	0.0001	0.875	0.932	0.818	0.881	0.755	0.875	0.757	0.92	0.594	0.791	0.544	0.757	0.786	0.933	0.638	0.813	0.598	0.786
relu	(100,)	0.1	0.866	0.925	0.807	0.874	0.738	0.866	0.751	0.899	0.604	0.784	0.527	0.751	0.762	0.933	0.59	0.797	0.558	0.762
relu	(100,)	0.01	0.871	0.936	0.806	0.878	0.748	0.871	0.748	0.907	0.589	0.783	0.522	0.748	0.781	0.924	0.638	0.808	0.586	0.781
relu	(100,)	0.001	0.876	0.934	0.818	0.882	0.757	0.876	0.771	0.924	0.619	0.802	0.57	0.771	0.79	0.924	0.657	0.815	0.603	0.79
relu	(100,)	0.0001	0.866	0.932	0.801	0.875	0.74	0.866	0.77	0.924	0.615	0.8	0.567	0.77	0.79	0.924	0.657	0.815	0.603	0.79
relu	(125,)	0.1	0.863	0.913	0.814	0.869	0.731	0.863	0.763	0.903	0.623	0.792	0.548	0.763	0.81	0.914	0.705	0.828	0.633	0.81
relu	(125,)	0.01	0.87	0.93	0.81	0.877	0.746	0.87	0.749	0.893	0.604	0.781	0.52	0.749	0.795	0.914	0.676	0.817	0.608	0.795
relu	(125,)	0.001	0.866	0.936	0.797	0.875	0.741	0.866	0.766	0.914	0.617	0.796	0.557	0.766	0.79	0.914	0.667	0.814	0.6	0.79
relu	(125,)	0.0001	0.866	0.934	0.799	0.875	0.74	0.866	0.76	0.914	0.606	0.792	0.547	0.76	0.781	0.924	0.638	0.808	0.586	0.781
relu	(150,)	0.1	0.853	0.888	0.818	0.858	0.708	0.853	0.773	0.895	0.651	0.798	0.565	0.773	0.776	0.905	0.648	0.802	0.572	0.776
relu	(150,)	0.01	0.866	0.927	0.805	0.874	0.739	0.866	0.775	0.905	0.646	0.802	0.571	0.775	0.8	0.924	0.676	0.822	0.619	0.8
relu	(150,)	0.001	0.875	0.93	0.82	0.881	0.755	0.875	0.77	0.909	0.63	0.798	0.562	0.77	0.79	0.914	0.667	0.814	0.6	0.79
relu	(150,)	0.0001	0.88	0.93	0.83	0.886	0.765	0.88	0.766	0.907	0.625	0.795	0.554	0.766	0.79	0.914	0.667	0.814	0.6	0.79
relu	(175,)	0.1	0.855	0.911	0.799	0.863	0.716	0.855	0.766	0.899	0.632	0.793	0.552	0.766	0.795	0.886	0.705	0.812	0.6	0.795
relu	(175,)	0.01	0.875	0.93	0.82	0.881	0.755	0.875	0.763	0.901	0.625	0.792	0.547	0.763	0.776	0.924	0.629	0.805	0.578	0.776
relu	(175,)	0.001	0.875	0.936	0.814	0.882	0.756	0.875	0.764	0.914	0.613	0.795	0.554	0.764	0.79	0.924	0.657	0.815	0.603	0.79
relu	(175,)	0.0001	0.873	0.932	0.814	0.88	0.751	0.873	0.758	0.922	0.594	0.792	0.546	0.758	0.795	0.933	0.657	0.82	0.614	0.795
relu	(200,)	0.1	0.863	0.899	0.828	0.868	0.729	0.863	0.765	0.91	0.619	0.795	0.555	0.765	0.767	0.905	0.629	0.795	0.555	0.767
relu	(200,)	0.01	0.869	0.925	0.812	0.875	0.742	0.869	0.754	0.909	0.6	0.787	0.535	0.754	0.79	0.933	0.648	0.817	0.606	0.79
relu	(200,)	0.001	0.882	0.932	0.832	0.888	0.769	0.882	0.776	0.926	0.627	0.806	0.579	0.776	0.81	0.933	0.686	0.831	0.639	0.81
relu	(200,)	0.0001	0.884	0.936	0.832	0.89	0.773	0.884	0.77	0.928	0.613	0.802	0.57	0.77	0.805	0.933	0.676	0.827	0.631	0.805
