n_estimators	max_depth	max_features	Accuracy	Sensitivity	Specificity	F1-score	MCC	BA	Accuracy_bcv	Sensitivity_bcv	Specificity_bcv	F1-score_bcv	MCC_bcv	BA_bcv	Accuracy_blind	Sensitivity_blind	Specificity_blind	F1-score_blind	MCC_blind	BA_blind
200	None	0.25	0.88	0.849	0.911	0.876	0.762	0.88	0.835	0.827	0.844	0.834	0.671	0.835	0.843	0.829	0.857	0.841	0.686	0.843
200	None	0.5	0.872	0.849	0.895	0.869	0.745	0.872	0.835	0.827	0.844	0.834	0.671	0.835	0.862	0.848	0.876	0.86	0.724	0.862
200	None	0.75	0.857	0.836	0.878	0.854	0.715	0.857	0.84	0.813	0.867	0.835	0.683	0.84	0.862	0.857	0.867	0.861	0.724	0.862
200	None	None	0.863	0.832	0.895	0.859	0.729	0.863	0.832	0.815	0.85	0.829	0.666	0.832	0.848	0.829	0.867	0.845	0.696	0.848
400	None	0.25	0.884	0.855	0.913	0.881	0.77	0.884	0.838	0.823	0.853	0.835	0.677	0.838	0.862	0.848	0.876	0.86	0.724	0.862
400	None	0.5	0.876	0.851	0.901	0.873	0.753	0.876	0.836	0.83	0.842	0.835	0.674	0.836	0.867	0.857	0.876	0.865	0.733	0.867
400	None	0.75	0.866	0.849	0.884	0.864	0.734	0.866	0.83	0.81	0.851	0.827	0.662	0.83	0.862	0.838	0.886	0.859	0.725	0.862
400	None	None	0.865	0.84	0.89	0.862	0.732	0.865	0.83	0.827	0.832	0.829	0.66	0.83	0.857	0.829	0.886	0.853	0.715	0.857
600	None	0.25	0.881	0.849	0.913	0.877	0.764	0.881	0.838	0.821	0.855	0.835	0.677	0.838	0.871	0.867	0.876	0.871	0.743	0.871
600	None	0.5	0.87	0.847	0.892	0.867	0.74	0.87	0.835	0.825	0.846	0.833	0.671	0.835	0.867	0.867	0.867	0.867	0.733	0.867
600	None	0.75	0.867	0.853	0.882	0.865	0.736	0.867	0.831	0.815	0.848	0.828	0.664	0.831	0.848	0.829	0.867	0.845	0.696	0.848
600	None	None	0.862	0.845	0.88	0.86	0.725	0.862	0.831	0.823	0.84	0.83	0.664	0.831	0.862	0.838	0.886	0.859	0.725	0.862
800	None	0.25	0.883	0.851	0.915	0.879	0.768	0.883	0.838	0.825	0.851	0.836	0.677	0.838	0.871	0.867	0.876	0.871	0.743	0.871
800	None	0.5	0.873	0.849	0.897	0.87	0.747	0.873	0.839	0.823	0.855	0.836	0.679	0.839	0.876	0.857	0.895	0.874	0.753	0.876
800	None	0.75	0.87	0.849	0.89	0.866	0.74	0.87	0.836	0.823	0.85	0.834	0.673	0.836	0.848	0.829	0.867	0.845	0.696	0.848
800	None	None	0.861	0.838	0.884	0.858	0.724	0.861	0.829	0.823	0.834	0.827	0.658	0.829	0.867	0.838	0.895	0.863	0.735	0.867
1000	None	0.25	0.885	0.855	0.915	0.881	0.772	0.885	0.843	0.827	0.859	0.84	0.687	0.843	0.867	0.867	0.867	0.867	0.733	0.867
1000	None	0.5	0.873	0.847	0.899	0.869	0.747	0.873	0.84	0.821	0.859	0.837	0.681	0.84	0.871	0.867	0.876	0.871	0.743	0.871
1000	None	0.75	0.87	0.849	0.89	0.867	0.74	0.87	0.83	0.817	0.844	0.828	0.662	0.83	0.848	0.838	0.857	0.846	0.695	0.848
1000	None	None	0.86	0.836	0.884	0.857	0.722	0.86	0.827	0.823	0.83	0.826	0.654	0.827	0.862	0.838	0.886	0.859	0.725	0.862
