n_estimators	max_depth	max_features	Accuracy	Sensitivity	Specificity	F1-score	MCC	BA	Accuracy_bcv	Sensitivity_bcv	Specificity_bcv	F1-score_bcv	MCC_bcv	BA_bcv	Accuracy_blind	Sensitivity_blind	Specificity_blind	F1-score_blind	MCC_blind	BA_blind
200	None	0.25	0.855	0.853	0.857	0.855	0.71	0.855	0.838	0.829	0.848	0.837	0.677	0.838	0.852	0.838	0.867	0.85	0.705	0.852
200	None	0.5	0.86	0.851	0.87	0.859	0.721	0.86	0.826	0.813	0.838	0.824	0.652	0.826	0.852	0.819	0.886	0.847	0.706	0.852
200	None	0.75	0.854	0.849	0.859	0.853	0.709	0.854	0.809	0.804	0.813	0.808	0.617	0.809	0.833	0.819	0.848	0.831	0.667	0.833
200	None	None	0.848	0.847	0.849	0.848	0.696	0.848	0.813	0.802	0.825	0.811	0.627	0.813	0.838	0.829	0.848	0.837	0.676	0.838
400	None	0.25	0.855	0.849	0.861	0.854	0.711	0.855	0.835	0.823	0.848	0.833	0.671	0.835	0.867	0.838	0.895	0.863	0.735	0.867
400	None	0.5	0.865	0.851	0.88	0.863	0.731	0.865	0.829	0.817	0.84	0.827	0.657	0.829	0.857	0.838	0.876	0.854	0.715	0.857
400	None	0.75	0.854	0.853	0.855	0.854	0.708	0.854	0.821	0.815	0.827	0.82	0.642	0.821	0.843	0.81	0.876	0.837	0.687	0.843
400	None	None	0.843	0.84	0.845	0.842	0.685	0.843	0.812	0.811	0.813	0.812	0.625	0.812	0.838	0.819	0.857	0.835	0.677	0.838
600	None	0.25	0.857	0.847	0.868	0.856	0.715	0.857	0.841	0.827	0.855	0.839	0.682	0.841	0.852	0.829	0.876	0.849	0.706	0.852
600	None	0.5	0.869	0.859	0.878	0.867	0.738	0.869	0.826	0.815	0.836	0.824	0.652	0.826	0.867	0.838	0.895	0.863	0.735	0.867
600	None	0.75	0.858	0.857	0.859	0.858	0.717	0.858	0.826	0.823	0.829	0.825	0.652	0.826	0.833	0.81	0.857	0.829	0.667	0.833
600	None	None	0.849	0.849	0.849	0.849	0.698	0.849	0.81	0.81	0.81	0.81	0.619	0.81	0.829	0.81	0.848	0.825	0.658	0.829
800	None	0.25	0.861	0.851	0.872	0.86	0.723	0.861	0.838	0.821	0.855	0.835	0.677	0.838	0.852	0.829	0.876	0.849	0.706	0.852
800	None	0.5	0.864	0.855	0.874	0.863	0.729	0.864	0.825	0.811	0.838	0.822	0.65	0.825	0.857	0.829	0.886	0.853	0.715	0.857
800	None	0.75	0.854	0.851	0.857	0.853	0.708	0.854	0.818	0.817	0.819	0.818	0.636	0.818	0.838	0.81	0.867	0.833	0.677	0.838
800	None	None	0.849	0.849	0.849	0.849	0.698	0.849	0.811	0.811	0.811	0.812	0.623	0.811	0.833	0.819	0.848	0.831	0.667	0.833
1000	None	0.25	0.865	0.857	0.874	0.864	0.732	0.865	0.842	0.825	0.859	0.839	0.684	0.842	0.857	0.838	0.876	0.854	0.715	0.857
1000	None	0.5	0.865	0.857	0.874	0.864	0.731	0.865	0.823	0.811	0.834	0.821	0.646	0.823	0.862	0.829	0.895	0.857	0.725	0.862
1000	None	0.75	0.858	0.853	0.863	0.857	0.717	0.858	0.819	0.819	0.819	0.819	0.638	0.819	0.833	0.81	0.857	0.829	0.667	0.833
1000	None	None	0.847	0.849	0.845	0.847	0.694	0.847	0.81	0.815	0.806	0.811	0.621	0.81	0.833	0.819	0.848	0.831	0.667	0.833
