Kernel	C	degree	gamma	coef0	Min_Dec_Score	Max_Dec_Score	Threshold	Accuracy	Sensitivity	Specificity	F1-score	MCC	BA	Accuracy_bcv	Sensitivity_bcv	Specificity_bcv	F1-score_bcv	MCC_bcv	BA_bcv	Accuracy_blind	Sensitivity_blind	Specificity_blind	F1-score_blind	MCC_blind	BA_blind
poly	1	2	0.1	0	-6.2	2.4	0.4	0.922	0.888	0.957	0.919	0.848	0.922	0.826	0.89	0.762	0.836	0.657	0.826	0.829	0.914	0.743	0.842	0.667	0.829
poly	1	2	0.1	1	-5.6	2.4	0.4	0.921	0.886	0.957	0.918	0.846	0.921	0.823	0.89	0.756	0.834	0.652	0.823	0.838	0.924	0.752	0.851	0.686	0.838
poly	1	2	0.1	2	-5.2	2.4	0.4	0.92	0.882	0.959	0.917	0.844	0.92	0.822	0.891	0.752	0.834	0.65	0.822	0.838	0.924	0.752	0.851	0.686	0.838
poly	1	2	0.1	3	-4.9	2.4	0.4	0.919	0.88	0.959	0.916	0.842	0.919	0.825	0.893	0.756	0.836	0.656	0.825	0.852	0.933	0.771	0.863	0.714	0.852
poly	1	2	0.01	0	-6.2	2.4	0.4	0.922	0.888	0.957	0.919	0.848	0.922	0.826	0.89	0.762	0.836	0.657	0.826	0.829	0.914	0.743	0.842	0.667	0.829
poly	1	2	0.01	1	-3.5	2.2	0.5	0.917	0.861	0.973	0.912	0.84	0.917	0.833	0.855	0.811	0.837	0.668	0.833	0.867	0.924	0.81	0.874	0.738	0.867
poly	1	2	0.01	2	-3.2	1.9	0.5	0.915	0.861	0.969	0.91	0.836	0.915	0.838	0.861	0.815	0.842	0.679	0.838	0.862	0.924	0.8	0.87	0.729	0.862
poly	1	2	0.01	3	-3.2	1.8	0.4	0.912	0.872	0.952	0.908	0.828	0.912	0.83	0.897	0.762	0.84	0.666	0.83	0.867	0.943	0.79	0.876	0.742	0.867
poly	1	2	0.001	0	-2.9	2.1	0.3	0.903	0.855	0.95	0.897	0.81	0.903	0.815	0.842	0.789	0.82	0.632	0.815	0.843	0.886	0.8	0.849	0.688	0.843
poly	1	2	0.001	1	-3.5	1.8	0.4	0.896	0.851	0.942	0.891	0.798	0.897	0.824	0.842	0.806	0.826	0.65	0.824	0.857	0.895	0.819	0.862	0.716	0.857
poly	1	2	0.001	2	-4.4	2.1	0.3	0.896	0.894	0.899	0.896	0.793	0.897	0.824	0.89	0.758	0.835	0.655	0.824	0.867	0.952	0.781	0.877	0.744	0.867
poly	1	2	0.001	3	-4.9	2.4	0.5	0.895	0.861	0.93	0.891	0.793	0.895	0.833	0.851	0.815	0.836	0.668	0.833	0.876	0.914	0.838	0.881	0.755	0.876
poly	1	3	0.1	0	-2.6	11.5	0.4	0.908	0.917	0.899	0.909	0.816	0.908	0.828	0.888	0.768	0.837	0.661	0.828	0.838	0.895	0.781	0.847	0.681	0.838
poly	1	3	0.1	1	-2.5	10.6	0.4	0.907	0.911	0.903	0.907	0.814	0.907	0.83	0.888	0.771	0.839	0.665	0.83	0.843	0.905	0.781	0.852	0.691	0.843
poly	1	3	0.1	2	-2.5	9.8	0.4	0.909	0.911	0.907	0.909	0.818	0.909	0.83	0.884	0.777	0.839	0.666	0.83	0.848	0.914	0.781	0.857	0.702	0.848
poly	1	3	0.1	3	-2.5	9.3	0.4	0.911	0.901	0.921	0.91	0.823	0.911	0.834	0.884	0.785	0.842	0.673	0.834	0.848	0.914	0.781	0.857	0.702	0.848
poly	1	3	0.01	0	-2.6	11.5	0.4	0.908	0.917	0.899	0.909	0.816	0.908	0.828	0.888	0.768	0.837	0.661	0.828	0.838	0.895	0.781	0.847	0.681	0.838
poly	1	3	0.01	1	-2.5	7.0	0.5	0.92	0.874	0.967	0.916	0.845	0.92	0.85	0.853	0.848	0.851	0.701	0.85	0.867	0.895	0.838	0.87	0.735	0.867
poly	1	3	0.01	2	-2.4	5.1	0.4	0.925	0.884	0.967	0.922	0.854	0.925	0.848	0.888	0.808	0.853	0.699	0.848	0.867	0.924	0.81	0.874	0.738	0.867
