Kernel	C	degree	gamma	coef0	Min_Dec_Score	Max_Dec_Score	Threshold	Accuracy	Sensitivity	Specificity	F1-score	MCC	BA	Accuracy_bcv	Sensitivity_bcv	Specificity_bcv	F1-score_bcv	MCC_bcv	BA_bcv	Accuracy_blind	Sensitivity_blind	Specificity_blind	F1-score_blind	MCC_blind	BA_blind
poly	1	2	0.1	0	-9.7	8.2	0.5	0.899	0.892	0.905	0.897	0.798	0.899	0.754	0.813	0.695	0.768	0.513	0.754	0.767	0.829	0.705	0.78	0.537	0.767
poly	1	2	0.1	1	-9.4	6.9	0.4	0.904	0.911	0.896	0.904	0.809	0.904	0.742	0.832	0.651	0.764	0.492	0.742	0.752	0.829	0.676	0.77	0.511	0.752
poly	1	2	0.1	2	-9.3	6.4	0.5	0.9	0.892	0.907	0.898	0.8	0.9	0.753	0.811	0.695	0.767	0.51	0.753	0.748	0.8	0.695	0.76	0.498	0.748
poly	1	2	0.1	3	-9.2	6.0	0.5	0.901	0.892	0.909	0.899	0.802	0.901	0.745	0.806	0.684	0.76	0.494	0.745	0.752	0.81	0.695	0.766	0.508	0.752
poly	1	2	0.01	0	-9.4	6.5	0.4	0.896	0.905	0.888	0.897	0.794	0.896	0.762	0.83	0.693	0.777	0.53	0.762	0.767	0.838	0.695	0.782	0.539	0.767
poly	1	2	0.01	1	-8.8	4.8	0.6	0.893	0.855	0.932	0.889	0.789	0.893	0.771	0.785	0.758	0.774	0.544	0.771	0.771	0.8	0.743	0.778	0.544	0.771
poly	1	2	0.01	2	-8.6	5.7	0.5	0.895	0.894	0.897	0.895	0.791	0.895	0.764	0.79	0.737	0.77	0.529	0.764	0.767	0.819	0.714	0.778	0.536	0.767
poly	1	2	0.01	3	-8.3	6.7	0.5	0.891	0.892	0.89	0.891	0.783	0.891	0.764	0.798	0.73	0.772	0.53	0.764	0.771	0.819	0.724	0.782	0.545	0.771
poly	1	2	0.001	0	-3.0	2.7	0.2	0.754	0.756	0.752	0.753	0.522	0.754	0.721	0.73	0.712	0.722	0.455	0.721	0.743	0.79	0.695	0.755	0.488	0.743
poly	1	2	0.001	1	-2.9	4.7	0.3	0.767	0.696	0.839	0.749	0.543	0.767	0.686	0.625	0.747	0.665	0.375	0.686	0.7	0.619	0.781	0.674	0.405	0.7
poly	1	2	0.001	2	-4.0	6.3	0.2	0.781	0.76	0.801	0.776	0.565	0.781	0.706	0.701	0.71	0.704	0.412	0.706	0.729	0.714	0.743	0.725	0.457	0.729
poly	1	2	0.001	3	-5.1	7.1	-0.1	0.778	0.897	0.661	0.802	0.575	0.779	0.704	0.872	0.535	0.746	0.434	0.704	0.738	0.905	0.571	0.776	0.505	0.738
poly	1	3	0.1	0	-123.3	14.6	0.4	0.862	0.876	0.849	0.864	0.725	0.862	0.802	0.869	0.735	0.814	0.609	0.802	0.829	0.905	0.752	0.841	0.665	0.829
poly	1	3	0.1	1	-90.9	15.3	0.5	0.873	0.863	0.882	0.872	0.746	0.873	0.804	0.844	0.764	0.811	0.61	0.804	0.824	0.895	0.752	0.836	0.654	0.824
poly	1	3	0.1	2	-69.8	15.0	0.4	0.884	0.892	0.876	0.885	0.769	0.884	0.799	0.863	0.735	0.811	0.603	0.799	0.814	0.905	0.724	0.83	0.639	0.814
poly	1	3	0.1	3	-54.7	14.3	0.4	0.888	0.896	0.88	0.889	0.777	0.888	0.8	0.865	0.735	0.812	0.605	0.8	0.81	0.895	0.724	0.825	0.628	0.81
poly	1	3	0.01	0	-115.3	14.0	0.4	0.863	0.876	0.851	0.865	0.727	0.863	0.8	0.869	0.731	0.813	0.606	0.8	0.829	0.905	0.752	0.841	0.665	0.829
poly	1	3	0.01	1	-13.1	8.8	0.2	0.889	0.936	0.843	0.894	0.783	0.889	0.745	0.88	0.61	0.775	0.509	0.745	0.762	0.905	0.619	0.792	0.547	0.762
poly	1	3	0.01	2	-4.5	5.3	0.6	0.892	0.861	0.923	0.889	0.787	0.892	0.767	0.781	0.752	0.77	0.534	0.767	0.8	0.819	0.781	0.804	0.6	0.8
poly	1	3	0.01	3	-4.8	4.0	0.7	0.885	0.838	0.932	0.879	0.774	0.885	0.759	0.749	0.77	0.756	0.519	0.759	0.771	0.771	0.771	0.771	0.543	0.771
poly	1	3	0.001	0	-7.2	3.3	-0.0	0.677	0.944	0.41	0.749	0.423	0.677	0.636	0.945	0.328	0.722	0.36	0.636	0.638	1.0	0.276	0.734	0.4	0.638
poly	1	3	0.001	1	-3.9	5.1	0.3	0.806	0.762	0.851	0.797	0.619	0.807	0.716	0.69	0.743	0.708	0.434	0.716	0.748	0.743	0.752	0.746	0.495	0.748
poly	1	3	0.001	2	-6.4	7.8	0.3	0.831	0.822	0.841	0.83	0.664	0.831	0.762	0.821	0.703	0.775	0.529	0.762	0.805	0.895	0.714	0.821	0.62	0.805
