Kernel	C	gamma	Min_Dec_Score	Max_Dec_Score	Threshold	Accuracy	Sensitivity	Specificity	F1-score	MCC	BA	Accuracy_bcv	Sensitivity_bcv	Specificity_bcv	F1-score_bcv	MCC_bcv	BA_bcv	Accuracy_blind	Sensitivity_blind	Specificity_blind	F1-score_blind	MCC_blind	BA_blind
RBF	1	0.1	-0.1	1.0	0.0	0.64	0.28	1.0	0.435	0.402	0.64	0.622	0.244	1.0	0.392	0.372	0.622	0.638	0.276	1.0	0.433	0.4	0.638
RBF	1	0.01	-0.4	1.2	-0.2	0.853	0.733	0.973	0.833	0.728	0.853	0.858	0.745	0.971	0.84	0.736	0.858	0.895	0.79	1.0	0.883	0.808	0.895
RBF	1	0.001	-1.3	1.3	0.1	0.873	0.828	0.917	0.867	0.749	0.873	0.847	0.779	0.914	0.835	0.7	0.847	0.89	0.848	0.933	0.886	0.784	0.89
RBF	1	0.0001	-1.5	1.6	0.3	0.723	0.646	0.799	0.7	0.451	0.723	0.686	0.59	0.781	0.652	0.378	0.686	0.71	0.619	0.8	0.681	0.426	0.71
RBF	1	1e-05	-0.9	0.9	0.1	0.628	0.685	0.571	0.643	0.263	0.628	0.599	0.667	0.531	0.619	0.206	0.599	0.61	0.629	0.59	0.617	0.219	0.61
RBF	5	0.1	-0.1	1.0	0.0	0.646	0.292	1.0	0.45	0.413	0.646	0.629	0.257	1.0	0.409	0.384	0.629	0.643	0.286	1.0	0.444	0.408	0.643
RBF	5	0.01	-0.4	1.2	-0.1	0.852	0.708	0.996	0.827	0.735	0.852	0.846	0.691	1.0	0.817	0.727	0.846	0.871	0.743	1.0	0.852	0.769	0.871
RBF	5	0.001	-1.5	1.4	0.1	0.91	0.863	0.957	0.905	0.824	0.91	0.891	0.863	0.92	0.888	0.785	0.891	0.929	0.924	0.933	0.928	0.857	0.929
RBF	5	0.0001	-2.1	1.7	0.2	0.833	0.807	0.859	0.829	0.669	0.833	0.777	0.802	0.752	0.782	0.556	0.777	0.781	0.781	0.781	0.781	0.562	0.781
RBF	5	1e-05	-1.5	1.5	0.3	0.682	0.619	0.746	0.661	0.369	0.682	0.656	0.568	0.745	0.623	0.317	0.656	0.648	0.562	0.733	0.615	0.3	0.648
RBF	10	0.1	-0.1	1.0	0.0	0.646	0.292	1.0	0.45	0.413	0.646	0.629	0.257	1.0	0.409	0.384	0.629	0.643	0.286	1.0	0.444	0.408	0.643
RBF	10	0.01	-0.4	1.2	-0.1	0.852	0.708	0.996	0.827	0.735	0.852	0.846	0.691	1.0	0.817	0.727	0.846	0.871	0.743	1.0	0.852	0.769	0.871
RBF	10	0.001	-1.5	1.4	0.2	0.91	0.843	0.977	0.903	0.828	0.91	0.896	0.838	0.954	0.89	0.798	0.896	0.933	0.895	0.971	0.931	0.869	0.933
RBF	10	0.0001	-2.3	1.7	0.1	0.861	0.876	0.847	0.863	0.724	0.861	0.811	0.867	0.756	0.821	0.627	0.811	0.829	0.914	0.743	0.842	0.667	0.829
RBF	10	1e-05	-1.8	1.6	0.1	0.728	0.76	0.696	0.737	0.457	0.728	0.68	0.737	0.623	0.698	0.363	0.68	0.719	0.781	0.657	0.735	0.441	0.719
