Kernel	C	gamma	Min_Dec_Score	Max_Dec_Score	Threshold	Accuracy	Sensitivity	Specificity	F1-score	MCC	BA	Accuracy_bcv	Sensitivity_bcv	Specificity_bcv	F1-score_bcv	MCC_bcv	BA_bcv	Accuracy_blind	Sensitivity_blind	Specificity_blind	F1-score_blind	MCC_blind	BA_blind
RBF	1	0.1	-0.2	1.1	-0.1	0.77	0.543	0.998	0.702	0.607	0.77	0.768	0.541	0.994	0.699	0.601	0.768	0.79	0.581	1.0	0.735	0.64	0.79
RBF	1	0.01	-1.0	1.4	-0.1	0.848	0.797	0.899	0.839	0.7	0.848	0.787	0.75	0.823	0.779	0.575	0.787	0.81	0.781	0.838	0.804	0.62	0.81
RBF	1	0.001	-1.9	1.5	0.2	0.759	0.702	0.816	0.744	0.524	0.759	0.693	0.629	0.758	0.671	0.391	0.693	0.729	0.657	0.8	0.708	0.462	0.729
RBF	1	0.0001	-1.4	1.2	0.4	0.632	0.633	0.632	0.633	0.268	0.633	0.638	0.59	0.686	0.619	0.279	0.638	0.657	0.61	0.705	0.64	0.316	0.657
RBF	1	1e-05	-0.9	1.0	0.7	0.546	0.353	0.735	0.278	0.107	0.544	0.53	0.333	0.726	0.264	0.072	0.53	0.5	0.0	1.0	0.0	0.0	0.5
RBF	5	0.1	-0.1	1.1	0.0	0.748	0.497	1.0	0.664	0.575	0.748	0.732	0.465	1.0	0.634	0.55	0.732	0.762	0.524	1.0	0.688	0.596	0.762
RBF	5	0.01	-1.2	1.4	-0.0	0.87	0.803	0.936	0.859	0.746	0.869	0.806	0.766	0.846	0.797	0.614	0.806	0.829	0.79	0.867	0.822	0.659	0.829
RBF	5	0.001	-2.1	1.9	0.4	0.841	0.758	0.923	0.826	0.692	0.841	0.776	0.691	0.861	0.755	0.562	0.776	0.8	0.724	0.876	0.784	0.607	0.8
RBF	5	0.0001	-2.3	1.5	0.4	0.693	0.549	0.837	0.64	0.406	0.693	0.637	0.467	0.808	0.562	0.292	0.637	0.643	0.476	0.81	0.571	0.303	0.643
RBF	5	1e-05	-1.2	1.0	0.1	0.597	0.775	0.42	0.655	0.22	0.597	0.617	0.781	0.453	0.668	0.26	0.617	0.619	0.838	0.4	0.688	0.265	0.619
RBF	10	0.1	-0.1	1.1	0.0	0.748	0.497	1.0	0.664	0.575	0.748	0.732	0.465	1.0	0.634	0.55	0.732	0.762	0.524	1.0	0.688	0.596	0.762
RBF	10	0.01	-1.2	1.4	-0.0	0.87	0.803	0.936	0.859	0.746	0.869	0.806	0.766	0.846	0.797	0.614	0.806	0.829	0.79	0.867	0.822	0.659	0.829
RBF	10	0.001	-2.3	1.8	0.2	0.874	0.87	0.878	0.873	0.748	0.874	0.785	0.846	0.724	0.797	0.574	0.785	0.81	0.876	0.743	0.821	0.625	0.81
RBF	10	0.0001	-3.0	1.7	0.2	0.718	0.69	0.748	0.71	0.441	0.719	0.673	0.63	0.716	0.657	0.349	0.673	0.705	0.667	0.743	0.693	0.411	0.705
RBF	10	1e-05	-1.5	1.2	0.4	0.623	0.603	0.644	0.616	0.25	0.623	0.633	0.581	0.686	0.61	0.27	0.633	0.662	0.619	0.705	0.647	0.325	0.662
